Size;Generation(µs);Serialization(µs);ToRedis(µs)
512x512;24868;213;3115
512x512;25250;208;2972
512x512;24191;215;2599
128x128;1514;10;149
512x512;24701;203;2651
512x512;24222;264;2849
128x128;1577;10;187
256x256;6117;36;247
512x512;24166;228;2626
256x256;6011;37;237
512x512;24328;241;2619
256x256;6054;38;272
512x512;24287;224;2760
128x128;1622;11;163
512x512;24130;214;2620
512x512;24141;206;2602
128x128;1546;11;160
128x128;1534;5;99
128x128;1520;3;86
512x512;24100;212;2575
512x512;24434;204;2646
128x128;1579;11;154
512x512;24230;214;2604
128x128;1527;11;121
256x256;6308;42;301
128x128;1588;7;137
512x512;24187;204;2667
256x256;6007;42;276
512x512;24320;212;2749
128x128;1526;11;129
128x128;1609;4;96
256x256;6037;35;176
512x512;24405;194;2718
512x512;24236;212;2566
128x128;1533;13;145
512x512;24468;197;2628
256x256;6078;40;250
128x128;1507;9;133
256x256;6024;20;158
128x128;1552;9;118
256x256;6048;112;283
256x256;6044;20;174
512x512;24551;216;2649
512x512;24238;212;2606
512x512;24486;244;2818
512x512;24009;206;2562
128x128;1540;15;145
128x128;1571;9;121
128x128;1604;4;97
512x512;24249;202;2868
256x256;6251;44;264
128x128;1508;9;115
512x512;24273;212;2648
128x128;1548;12;163
512x512;24283;218;2790
256x256;6098;43;247
256x256;6265;22;212
256x256;5996;18;200
256x256;6053;18;200
256x256;6062;42;298
256x256;6074;52;266
512x512;24232;207;2632
512x512;24307;304;2668
256x256;6120;68;262
256x256;6214;46;227
256x256;6394;19;175
128x128;1505;9;93
128x128;1525;4;123
128x128;1521;4;99
256x256;6094;44;258
128x128;1516;9;137
512x512;24243;297;2924
512x512;24868;205;2857
128x128;1553;12;148
512x512;24251;187;2597
512x512;24222;205;2586
512x512;24221;188;2656
512x512;24343;244;2606
256x256;6060;41;250
512x512;24149;216;2615
512x512;25354;211;2623
128x128;1560;11;203
128x128;1572;10;129
256x256;6409;35;182
512x512;24360;193;2578
256x256;6101;41;323
512x512;24373;202;2661
128x128;1554;11;174
128x128;1511;5;130
128x128;1573;6;144
256x256;6140;39;229
256x256;6032;23;188
256x256;6086;18;132
256x256;6048;18;165
128x128;1553;7;89
256x256;6345;45;275
512x512;24210;196;2794
128x128;1576;15;152
128x128;1515;8;118
128x128;1503;4;83
128x128;1560;3;87
256x256;6085;33;215
256x256;6062;23;181
128x128;1545;5;96
512x512;24335;212;2600
512x512;24070;202;2610
128x128;1519;11;121
256x256;6168;39;226
256x256;6038;20;144
128x128;1570;7;53
128x128;1540;7;109
128x128;1618;6;100
512x512;24421;202;2591
128x128;1653;17;155
512x512;24223;186;2631
512x512;24379;204;2624
256x256;6067;43;264
256x256;6030;43;255
512x512;25666;278;6101
256x256;6403;84;408
512x512;24437;208;2614
512x512;24432;254;2605
256x256;6049;42;284
512x512;24297;201;2673
128x128;1516;10;163
256x256;6144;36;244
512x512;24242;244;2622
512x512;24162;209;2618
512x512;24169;216;2605
128x128;1528;11;155
512x512;24346;225;2770
256x256;6187;43;279
128x128;1521;9;106
128x128;1518;3;90
256x256;6031;26;181
512x512;24053;211;2677
512x512;24247;198;2583
512x512;24329;214;2660
256x256;6079;40;244
128x128;1505;8;97
128x128;1588;4;101
512x512;24218;226;2594
512x512;24384;216;2581
512x512;24226;204;2601
128x128;1561;11;125
256x256;6050;37;210
256x256;6063;24;189
256x256;6010;17;162
512x512;24193;199;2588
256x256;6181;44;328
512x512;24369;188;2608
128x128;1528;10;92
512x512;24181;203;2578
256x256;6030;87;323
128x128;1522;21;155
256x256;6084;35;222
512x512;24360;248;2748
512x512;24247;211;2817
512x512;24254;193;2557
512x512;24100;230;2592
256x256;6217;62;287
128x128;1529;14;175
512x512;24467;174;2712
512x512;24300;213;2587
128x128;1576;11;150
256x256;6176;46;294
512x512;24175;157;2949
256x256;6083;42;292
256x256;6061;44;255
128x128;1551;8;124
256x256;6338;20;164
512x512;24047;211;2584
128x128;1528;11;154
512x512;24318;212;2584
128x128;1545;11;139
256x256;6043;36;212
128x128;1608;5;94
128x128;1543;29;96
128x128;1515;4;55
128x128;1641;5;108
256x256;6118;39;239
512x512;24313;232;2798
128x128;1523;10;128
256x256;6018;40;229
128x128;1595;8;99
128x128;1621;5;88
256x256;6236;26;174
256x256;6020;22;166
512x512;24278;189;2579
512x512;24044;196;2667
128x128;1558;10;93
256x256;6191;37;213
512x512;24469;190;2742
512x512;24226;202;2608
512x512;24624;203;2580
512x512;24149;203;2905
128x128;1579;10;121
512x512;24296;197;2585
256x256;6338;40;212
256x256;6217;21;179
256x256;6108;40;235
256x256;6089;34;227
256x256;6046;34;211
128x128;1524;8;100
128x128;1509;3;122
512x512;24128;206;2670
512x512;24393;218;2581
512x512;24068;233;2607
256x256;6132;41;275
128x128;1505;10;134
128x128;1520;4;124
256x256;6012;24;170
128x128;1518;4;92
256x256;6022;18;161
512x512;24204;203;2710
512x512;24350;192;2552
512x512;24330;205;2843
512x512;24134;220;2579
256x256;6060;41;246
256x256;6128;20;175
512x512;24682;200;2658
512x512;24354;194;2572
128x128;1554;37;136
256x256;6246;37;216
256x256;6061;46;261
512x512;23987;201;3046
256x256;6244;42;260
128x128;1603;9;103
512x512;24570;212;2612
128x128;1545;14;191
128x128;1565;4;131
128x128;1539;4;176
128x128;1514;4;128
256x256;6165;36;289
256x256;6233;22;219
512x512;24376;213;2596
256x256;6202;42;278
256x256;6235;48;310
512x512;24674;193;2979
128x128;1551;17;168
512x512;24245;217;2607
512x512;24489;198;2715
256x256;6145;54;293
128x128;1521;9;105
512x512;24361;159;2959
256x256;6124;51;276
512x512;24374;208;2792
256x256;6051;41;241
256x256;6055;19;176
512x512;24136;212;2750
128x128;1520;10;134
128x128;1508;4;126
128x128;1520;4;128
256x256;6106;35;241
128x128;1600;4;132
256x256;6010;39;226
256x256;6341;38;238
512x512;24312;239;2695
256x256;6068;37;240
512x512;24182;204;2608
256x256;6048;40;248
128x128;1558;9;98
512x512;24369;201;2715
256x256;6107;39;249
256x256;6107;18;176
128x128;1495;9;95
128x128;1519;4;154
128x128;1493;3;87
512x512;24240;189;2549
512x512;24546;199;2632
512x512;24385;192;2620
512x512;24562;259;3001
256x256;6070;43;225
512x512;24202;201;2645
512x512;24267;209;2705
256x256;6147;43;253
256x256;6190;20;175
128x128;1591;11;122
128x128;1670;10;112
512x512;24285;180;2602
128x128;1583;15;159
512x512;24349;200;2745
512x512;24320;193;2601
256x256;6098;42;287
512x512;24574;198;2594
256x256;6146;55;288
256x256;6064;28;196
256x256;6030;17;163
256x256;6079;19;165
256x256;6265;17;163
256x256;6223;45;260
256x256;5990;21;178
256x256;6031;17;157
512x512;24147;197;2693
256x256;6362;38;208
256x256;6020;19;178
512x512;24263;203;2666
128x128;1589;10;90
128x128;1516;4;105
128x128;1510;3;93
128x128;1514;4;94
128x128;1508;3;91
128x128;1523;5;101
512x512;24265;190;2560
128x128;1541;10;125
128x128;1532;10;159
256x256;6069;39;266
256x256;6024;18;213
128x128;1523;12;161
256x256;6067;26;223
256x256;6175;19;215
128x128;1514;5;127
512x512;24288;187;2617
256x256;6242;54;293
256x256;6043;34;209
512x512;24004;222;2772
128x128;1530;14;141
128x128;1525;4;118
512x512;24275;214;2800
256x256;6032;48;289
512x512;24253;201;2634
256x256;6047;40;274
256x256;6033;20;184
128x128;1625;8;93
512x512;24345;197;2604
512x512;24424;208;2599
256x256;6061;41;248
256x256;6017;21;144
512x512;24294;197;2590
256x256;6298;37;246
128x128;1775;11;105
256x256;6128;39;237
128x128;1547;8;97
256x256;6188;20;207
256x256;6142;20;166
256x256;6050;18;163
256x256;6075;48;280
512x512;24176;192;2658
128x128;1550;13;152
128x128;1569;8;118
128x128;1608;5;93
256x256;6190;33;202
128x128;1544;5;95
256x256;6015;20;163
128x128;1577;3;95
128x128;1537;3;96
256x256;6053;24;144
256x256;6254;18;164
512x512;24508;232;2831
128x128;1518;16;151
256x256;6069;35;216
512x512;24127;250;2620
256x256;6077;38;241
128x128;1507;8;89
256x256;6151;45;222
512x512;24551;212;2592
128x128;1519;10;122
512x512;24025;204;2648
128x128;1512;13;130
128x128;1513;4;95
128x128;1598;4;88
256x256;6034;35;199
512x512;24199;191;2612
512x512;24038;199;2821
256x256;6232;41;241
256x256;6079;56;250
512x512;24551;182;2633
256x256;6075;50;273
128x128;1559;9;104
128x128;1551;3;88
512x512;24589;236;2953
512x512;24174;199;2909
128x128;1733;12;122
512x512;24180;197;2558
512x512;24243;187;2534
256x256;6059;55;280
128x128;1570;11;118
256x256;6238;31;188
512x512;24438;199;2617
128x128;1598;11;136
512x512;24189;242;2651
256x256;6025;42;243
256x256;6049;46;221
512x512;24431;210;2598
512x512;24278;201;2586
128x128;1550;11;122
512x512;24325;203;2706
512x512;24112;252;2763
128x128;1601;10;126
512x512;24164;260;2839
256x256;6172;42;245
256x256;6092;26;202
512x512;24314;216;2734
256x256;6162;40;246
256x256;6298;19;178
256x256;6255;53;272
256x256;6146;30;199
256x256;6305;18;159
128x128;1515;8;89
256x256;5999;20;155
512x512;24523;200;2587
512x512;24355;196;2608
512x512;24473;260;2617
256x256;6230;41;247
256x256;6336;21;179
128x128;1502;8;67
128x128;1503;3;88
256x256;6063;47;276
128x128;1520;9;102
128x128;1548;3;90
128x128;1504;3;87
128x128;1539;4;86
512x512;24359;217;2589
128x128;1619;10;130
256x256;6138;58;246
128x128;1524;7;101
128x128;1506;3;86
512x512;24074;202;2591
512x512;24241;214;2589
512x512;24257;202;2657
512x512;24305;234;2730
256x256;6074;55;236
128x128;1561;8;100
128x128;1497;4;124
512x512;24263;207;2754
256x256;6012;47;255
128x128;1874;10;156
256x256;6248;43;185
128x128;1549;5;91
512x512;24505;199;2780
128x128;1588;32;146
256x256;6117;43;250
512x512;24232;213;2705
256x256;6243;76;280
128x128;1544;9;103
128x128;1574;3;89
