Size;Generation(µs);Serialization(µs);ToRedis(µs)
256x256;14700;38;1104
256x256;14322;13;660
512x512;57963;159;2982
512x512;58972;197;2680
128x128;3591;8;163
128x128;3724;4;164
128x128;3601;3;139
256x256;14476;38;519
128x128;3612;8;147
512x512;57583;273;2695
128x128;3764;9;168
512x512;57427;155;2336
128x128;3783;9;345
256x256;14310;40;435
256x256;14292;11;483
256x256;14351;10;811
256x256;14842;10;479
512x512;57562;170;2016
128x128;3807;10;155
128x128;3589;2;127
128x128;3593;2;130
256x256;14853;43;438
512x512;57500;133;2054
512x512;57475;116;1704
128x128;3599;9;133
128x128;3554;2;148
256x256;14383;39;987
512x512;57455;120;1557
256x256;14354;36;370
256x256;14309;11;725
128x128;3585;8;139
512x512;57182;143;1785
256x256;14386;38;767
128x128;3555;9;111
512x512;57608;137;1682
128x128;3596;8;123
512x512;57970;110;1817
256x256;14290;37;367
256x256;14349;11;625
128x128;3587;9;204
512x512;57119;168;1893
256x256;14855;35;498
128x128;3607;7;142
256x256;14753;32;496
512x512;57498;167;1994
512x512;58439;164;1783
128x128;3607;8;118
512x512;57509;121;1654
256x256;14445;38;366
128x128;3624;9;122
256x256;14350;11;470
256x256;14337;12;443
512x512;58278;158;1882
512x512;58013;103;1492
256x256;14413;38;767
256x256;14299;10;380
128x128;3637;9;118
128x128;3605;2;161
128x128;3607;3;134
128x128;3700;2;174
256x256;14399;21;775
512x512;57166;152;1559
256x256;14331;36;402
512x512;57657;128;1771
512x512;57651;165;1803
512x512;57791;108;1603
512x512;57610;135;1568
512x512;57255;122;1622
256x256;14367;40;444
512x512;57417;165;1713
256x256;14604;36;701
256x256;14374;10;805
512x512;57383;151;1348
256x256;14314;38;488
128x128;3720;9;116
512x512;58397;162;1650
256x256;14277;40;880
512x512;58087;137;1474
512x512;57882;124;1370
128x128;3578;9;126
512x512;58280;105;1755
256x256;14412;39;459
512x512;57417;164;1803
128x128;3949;9;145
256x256;14382;39;725
512x512;57174;139;1762
128x128;3633;8;126
256x256;14941;34;692
512x512;58062;137;1512
128x128;3816;8;127
256x256;14828;45;408
512x512;57134;128;1708
512x512;57368;120;1561
256x256;14341;41;837
128x128;3568;9;204
256x256;14415;12;822
256x256;14351;10;538
128x128;3826;4;222
256x256;14325;11;412
128x128;3593;5;177
512x512;57633;155;1497
256x256;14415;38;374
512x512;57407;141;1584
512x512;57228;113;1437
512x512;57464;126;1672
512x512;58224;98;1548
512x512;57377;156;1756
128x128;3607;8;113
128x128;3625;2;102
256x256;14301;44;397
256x256;14422;18;418
128x128;3606;8;118
256x256;14310;13;358
128x128;3653;3;135
128x128;3600;3;129
256x256;14889;12;504
128x128;3624;2;230
512x512;57895;157;1754
128x128;3562;8;170
128x128;3602;3;127
256x256;14477;36;416
128x128;3564;2;119
128x128;3597;3;115
128x128;3565;2;116
128x128;3747;3;136
256x256;14392;14;591
512x512;57721;172;1893
256x256;14311;38;716
256x256;14380;11;398
512x512;57552;165;1654
512x512;57251;136;1838
128x128;3606;8;126
512x512;57381;145;1609
512x512;58266;146;1591
128x128;3818;9;133
512x512;57370;109;1472
128x128;3601;7;114
128x128;3896;3;132
512x512;57703;117;1500
512x512;57166;114;1652
512x512;58222;194;2020
128x128;3623;9;127
512x512;57226;154;1579
512x512;57622;154;1622
256x256;14379;41;401
128x128;3593;9;103
256x256;14340;13;335
512x512;57446;145;1570
128x128;3958;8;129
512x512;57372;125;1614
256x256;14624;43;379
256x256;14250;12;364
128x128;3569;9;105
128x128;3596;2;109
512x512;57339;146;1696
128x128;3589;7;116
128x128;3618;2;130
256x256;14307;37;415
