Size;FromRedis(µs);Parse(µs)
512x512;2795;235
512x512;2787;240
512x512;2760;235
256x256;1096;225
128x128;140;213
128x128;140;208
512x512;2089;231
256x256;1334;229
128x128;132;241
256x256;259;206
128x128;176;204
512x512;2283;254
256x256;1174;276
512x512;2106;237
256x256;1095;226
128x128;139;204
128x128;146;240
512x512;2112;236
512x512;3039;239
256x256;1051;226
512x512;1967;233
512x512;2982;238
512x512;2875;239
512x512;2843;233
512x512;2789;232
256x256;979;212
256x256;295;232
128x128;128;208
256x256;206;210
512x512;2108;233
512x512;2800;233
256x256;1008;214
512x512;1954;233
512x512;2768;232
512x512;2925;234
256x256;995;211
256x256;230;259
128x128;135;208
512x512;1990;233
512x512;2803;232
128x128;500;209
256x256;505;214
128x128;62;206
128x128;151;207
128x128;148;208
128x128;137;213
256x256;286;230
128x128;152;256
256x256;297;229
512x512;1978;233
512x512;3028;234
256x256;1011;211
128x128;156;217
256x256;265;213
512x512;2069;285
512x512;2723;233
256x256;1005;212
512x512;2041;233
128x128;537;244
512x512;2277;233
256x256;1063;213
256x256;221;212
256x256;310;233
512x512;1968;234
256x256;1105;279
512x512;2191;238
512x512;2913;232
128x128;656;210
512x512;2369;282
256x256;1171;230
512x512;2198;253
256x256;1046;238
256x256;226;211
512x512;1985;233
256x256;1527;305
512x512;2015;233
512x512;2716;233
256x256;1042;222
512x512;2039;248
256x256;1009;214
512x512;2036;238
512x512;2784;269
512x512;2881;242
512x512;2846;233
128x128;546;208
128x128;96;240
512x512;2311;232
128x128;552;216
512x512;2281;234
512x512;2717;232
256x256;976;210
512x512;2014;232
512x512;2752;270
256x256;1087;222
512x512;2075;232
256x256;974;223
256x256;225;208
128x128;102;243
512x512;1956;233
512x512;2754;232
512x512;2829;232
512x512;2776;237
512x512;2965;232
256x256;948;211
256x256;190;209
512x512;1903;237
256x256;960;210
128x128;132;207
256x256;224;210
128x128;141;216
256x256;268;222
128x128;133;208
128x128;169;228
128x128;137;207
128x128;129;207
512x512;2021;254
512x512;2702;233
256x256;996;210
256x256;294;224
128x128;160;208
256x256;226;211
128x128;117;215
128x128;150;277
256x256;216;213
256x256;216;209
128x128;91;242
256x256;236;211
128x128;134;212
512x512;2032;233
512x512;2738;233
512x512;3117;328
256x256;1039;227
512x512;1917;237
256x256;1035;212
512x512;1971;241
256x256;981;212
512x512;1922;233
256x256;1035;225
256x256;348;235
512x512;2369;233
256x256;1021;217
512x512;1959;243
256x256;1028;221
128x128;141;249
128x128;133;207
256x256;220;251
128x128;123;207
512x512;2040;234
128x128;548;208
128x128;133;207
512x512;2322;237
512x512;2806;234
128x128;517;208
512x512;2337;234
512x512;2758;237
256x256;946;212
512x512;2008;232
256x256;965;213
128x128;146;208
512x512;1959;233
512x512;2722;233
512x512;2768;234
256x256;977;215
256x256;346;210
128x128;148;208
128x128;102;254
128x128;105;216
128x128;140;217
128x128;134;208
512x512;2398;236
512x512;2771;251
256x256;1059;229
512x512;2269;242
256x256;1030;220
128x128;141;247
512x512;1972;234
256x256;1051;228
256x256;239;209
256x256;7353;250
512x512;2241;236
512x512;2781;236
512x512;2678;283
256x256;1043;232
512x512;1976;234
512x512;2750;239
512x512;2915;232
128x128;561;251
512x512;2306;233
256x256;1018;250
256x256;273;281
256x256;229;231
512x512;2061;283
256x256;1006;212
512x512;2206;423
128x128;563;208
256x256;575;292
512x512;2093;257
512x512;2815;232
512x512;2698;235
256x256;941;232
128x128;139;208
512x512;2061;233
256x256;1119;265
256x256;210;210
128x128;120;238
128x128;132;207
256x256;323;234
512x512;2239;284
512x512;3078;245
512x512;2677;232
256x256;1087;229
128x128;135;213
128x128;132;207
512x512;2276;231
128x128;601;208
512x512;2449;233
512x512;3138;253
256x256;1049;219
256x256;254;211
256x256;245;219
512x512;2058;241
128x128;586;224
256x256;535;221
256x256;230;244
256x256;240;215
128x128;143;258
256x256;258;209
256x256;229;209
128x128;93;212
128x128;141;207
256x256;278;229
256x256;310;288
512x512;1995;233
256x256;1022;215
512x512;1954;238
512x512;2823;239
256x256;994;212
128x128;146;208
256x256;244;251
512x512;2007;242
512x512;2795;233
256x256;1018;230
128x128;140;260
128x128;139;207
512x512;2044;234
256x256;1024;228
128x128;103;217
256x256;266;228
256x256;260;336
512x512;2024;256
256x256;1032;218
128x128;145;208
256x256;221;210
256x256;321;247
256x256;274;231
256x256;215;212
512x512;1945;234
512x512;2742;232
512x512;2875;289
512x512;3143;239
256x256;1101;219
512x512;2111;234
256x256;1068;230
128x128;161;207
128x128;133;207
256x256;310;209
512x512;2020;232
512x512;2766;232
256x256;1015;224
128x128;140;213
512x512;2021;236
512x512;2754;232
512x512;2744;233
512x512;2830;234
256x256;1009;210
128x128;200;208
512x512;2162;280
512x512;2818;268
256x256;1087;223
512x512;1998;232
256x256;941;215
256x256;211;211
512x512;2006;281
512x512;2769;237
256x256;994;222
512x512;2002;232
512x512;2767;234
512x512;2972;233
512x512;2821;233
512x512;2755;233
512x512;3191;233
512x512;3102;235
128x128;612;215
512x512;2461;236
256x256;1030;211
512x512;1953;235
512x512;3263;237
256x256;1100;271
512x512;2109;278
256x256;986;210
512x512;1984;233
512x512;2957;232
256x256;1032;245
128x128;212;207
128x128;94;207
512x512;2174;231
256x256;1001;245
512x512;2023;233
128x128;587;208
128x128;136;245
256x256;563;220
128x128;133;258
256x256;264;228
128x128;95;246
128x128;135;207
256x256;293;213
512x512;1973;233
256x256;1103;275
512x512;1984;232
512x512;3037;244
512x512;2737;243
512x512;2714;246
512x512;2861;233
256x256;925;210
128x128;139;213
512x512;2015;233
128x128;549;208
256x256;614;221
128x128;132;208
256x256;181;211
512x512;2008;233
256x256;994;212
128x128;188;207
128x128;143;295
128x128;152;214
256x256;260;221
128x128;141;224
512x512;2122;235
512x512;2746;233
512x512;3324;245
512x512;2674;233
256x256;1097;230
128x128;140;208
128x128;63;242
256x256;256;209
512x512;1979;233
256x256;926;212
256x256;217;254
256x256;185;212
512x512;1947;233
256x256;1161;236
512x512;2112;246
256x256;1095;229
256x256;222;222
128x128;137;208
128x128;204;208
512x512;1992;232
256x256;1020;211
512x512;2066;233
512x512;2732;233
256x256;981;214
512x512;1948;232
512x512;2865;233
512x512;2867;232
512x512;2770;233
512x512;2789;234
512x512;3215;237
512x512;3037;241
256x256;1068;217
256x256;239;212
512x512;2025;234
512x512;2720;232
256x256;1058;267
256x256;250;210
256x256;224;211
128x128;137;207
128x128;139;216
256x256;299;236
512x512;2213;236
512x512;3185;235
256x256;1096;268
512x512;1921;241
256x256;986;210
512x512;1999;233
256x256;916;213
256x256;233;211
128x128;140;208
512x512;2106;297
512x512;2761;232
512x512;3023;234
512x512;2747;243
256x256;933;212
128x128;115;207
512x512;1941;241
512x512;2761;235
256x256;1018;208
512x512;2302;227
256x256;982;208
128x128;145;203
128x128;143;203
512x512;2049;228
512x512;3140;232
128x128;495;208
256x256;585;224
512x512;1977;233
512x512;2864;231
256x256;1130;232
512x512;2074;232
512x512;2727;232
256x256;1063;227
128x128;110;209
128x128;178;220
256x256;263;216
256x256;274;263
256x256;214;210
256x256;213;210
256x256;269;231
256x256;249;222
256x256;190;212
512x512;2040;233
256x256;1016;308
256x256;240;211
512x512;1990;236
256x256;989;214
512x512;2024;232
512x512;2831;276
512x512;2689;233
256x256;939;211
128x128;133;207
256x256;292;271
512x512;2130;238
512x512;2709;254
256x256;1151;232
512x512;2276;249
512x512;3068;234
512x512;2879;237
512x512;2699;232
256x256;927;242
256x256;291;239
512x512;2167;246
512x512;2875;252
128x128;609;215
128x128;151;215
512x512;2444;236
512x512;2745;239
256x256;1058;233
512x512;2353;240
512x512;2764;233
256x256;1041;230
256x256;285;222
128x128;136;242
128x128;104;207
256x256;234;210
256x256;214;219
128x128;148;207
256x256;367;238
512x512;2059;252
512x512;2744;232
512x512;2884;232
128x128;577;207
512x512;2357;231
256x256;948;212
512x512;2022;273
128x128;525;208
128x128;129;294
256x256;664;229
512x512;2235;233
512x512;3259;240
512x512;2725;231
128x128;645;215
512x512;2353;234
512x512;2728;233
256x256;1032;230
512x512;2157;238
256x256;1073;231
128x128;97;212
256x256;236;210
128x128;136;213
512x512;2018;234
256x256;993;211
128x128;164;207
128x128;135;207
512x512;2116;330
512x512;2738;279
256x256;993;214
128x128;143;256
256x256;228;210
512x512;2018;277
512x512;2796;234
256x256;950;217
256x256;282;241
256x256;229;216
512x512;2025;232
512x512;2855;232
128x128;524;209
256x256;589;221
512x512;2001;235
128x128;565;209
256x256;506;215
256x256;238;217
512x512;2035;239
512x512;2665;236
256x256;963;210
128x128;115;207
256x256;261;238
128x128;149;209
512x512;2380;239
512x512;3006;251
512x512;2755;240
512x512;2797;287
128x128;513;207
256x256;606;234
512x512;2022;258
256x256;1254;250
