Size;Generation(µs);Serialization(µs);ToRedis(µs)
512x512;24365;357;3537
128x128;1492;9;276
512x512;24589;214;2333
512x512;23193;187;2616
128x128;1460;8;180
512x512;23389;179;2316
512x512;23465;183;2372
512x512;23310;172;2576
256x256;5739;40;568
128x128;1398;8;136
512x512;22530;174;1988
512x512;22618;171;2244
128x128;1409;9;202
256x256;5622;39;473
128x128;1410;4;94
128x128;1403;3;88
256x256;5613;19;184
512x512;23040;191;2091
128x128;1407;8;152
256x256;5592;38;459
512x512;22613;184;1992
256x256;5574;34;520
512x512;22565;172;1956
256x256;5627;35;515
256x256;5692;17;167
128x128;1401;8;93
128x128;1417;3;90
128x128;1457;3;89
512x512;22747;180;2017
256x256;5719;34;520
256x256;5670;17;175
128x128;1401;7;94
512x512;22469;176;2093
128x128;1384;8;162
256x256;5587;33;443
256x256;5765;16;155
512x512;22489;177;1995
256x256;5570;30;519
256x256;5748;17;211
128x128;1420;8;101
512x512;22648;182;2046
512x512;22872;194;2481
512x512;22942;181;2545
256x256;5779;40;573
128x128;1440;8;131
512x512;23190;217;2140
128x128;1480;8;168
512x512;22919;181;2233
256x256;5767;90;615
256x256;6021;20;187
256x256;5789;17;178
128x128;1418;8;129
512x512;23354;202;2171
512x512;23081;189;2317
512x512;23106;188;2371
128x128;1429;8;171
128x128;1430;4;95
128x128;1422;3;90
256x256;5721;41;508
256x256;5863;17;171
256x256;5741;16;172
512x512;22820;186;2085
512x512;23100;185;2331
512x512;22562;176;2265
512x512;22589;168;2238
512x512;22512;169;2242
128x128;1399;9;166
128x128;1403;3;91
256x256;5638;39;480
512x512;23372;176;2008
256x256;5662;37;553
128x128;1429;8;99
256x256;5853;18;171
256x256;5646;17;157
512x512;22601;177;2015
128x128;1398;8;167
256x256;5638;31;464
128x128;1403;4;92
256x256;5625;17;161
256x256;5685;16;168
512x512;22808;178;2006
128x128;1393;7;162
128x128;1397;3;90
256x256;5646;30;447
512x512;22495;178;1972
256x256;5756;33;578
128x128;1510;7;98
512x512;22397;178;1980
512x512;22480;186;2401
256x256;5767;38;520
256x256;5740;16;172
128x128;1443;8;93
512x512;22482;174;1978
512x512;22400;171;2248
512x512;22418;173;2253
256x256;5660;39;521
512x512;23004;175;1962
512x512;22451;241;2451
128x128;1482;8;157
512x512;23274;184;2274
512x512;22734;171;2281
128x128;1516;8;201
512x512;23220;170;2249
256x256;5691;40;564
256x256;5748;17;181
512x512;22773;171;2013
512x512;22908;169;2282
512x512;23141;207;2317
512x512;22673;165;2245
128x128;1403;8;202
256x256;5682;39;447
128x128;1380;4;90
512x512;22486;165;1955
128x128;1402;7;167
512x512;22478;172;2196
128x128;1398;7;160
512x512;22975;175;2203
512x512;22693;181;2443
512x512;22812;170;2297
256x256;5689;40;558
256x256;5638;18;170
128x128;1400;8;142
512x512;23067;175;2079
128x128;1396;7;164
512x512;22413;177;2208
512x512;22641;203;2252
128x128;1405;8;200
256x256;5602;39;465
512x512;22431;203;2023
128x128;1430;8;162
256x256;5757;37;463
256x256;5854;17;196
512x512;22661;180;1997
256x256;5597;31;519
512x512;22709;175;1965
128x128;1397;9;165
512x512;22481;175;2196
256x256;5790;38;628
512x512;22770;174;1972
512x512;22663;198;2690
128x128;1460;8;189
512x512;23101;200;2306
512x512;22538;173;2228
128x128;1402;8;162
512x512;23024;175;2208
256x256;5620;40;518
256x256;5643;16;169
512x512;22473;177;1989
512x512;22442;169;2243
256x256;5620;37;520
128x128;1434;8;94
256x256;5832;17;172
128x128;1436;4;93
128x128;1430;3;88
512x512;22762;181;2006
512x512;22532;173;2253
512x512;22538;172;2268
512x512;22498;165;2229
128x128;1448;9;165
512x512;22421;173;2209
256x256;5615;40;518
256x256;5598;16;169
512x512;23033;177;2067
512x512;22343;169;2244
128x128;1409;8;164
512x512;22924;182;2225
128x128;1403;8;161
128x128;1407;4;88
256x256;5628;40;439
512x512;22584;176;1993
512x512;22540;179;2265
256x256;5570;39;523
512x512;22761;218;2040
128x128;1489;9;163
128x128;1466;3;92
128x128;1429;3;90
256x256;5645;36;502
128x128;1391;3;91
512x512;22363;173;1976
128x128;1476;6;164
128x128;1411;3;91
128x128;1409;3;92
512x512;22496;181;2203
512x512;22649;172;2232
128x128;1405;8;161
512x512;22882;178;2204
256x256;5629;41;515
256x256;5746;41;172
512x512;23607;183;2230
128x128;1471;9;164
512x512;22512;191;2259
256x256;5799;43;520
256x256;5763;17;170
256x256;5869;17;163
512x512;23075;182;2059
512x512;22832;182;2325
256x256;5731;39;523
512x512;22874;174;1992
512x512;23212;227;2407
256x256;5923;40;565
256x256;5605;17;171
256x256;5546;17;169
512x512;22600;176;2038
256x256;5611;29;513
128x128;1405;8;99
512x512;22403;174;2002
128x128;1544;8;163
256x256;5820;36;455
256x256;5648;17;159
256x256;5915;16;156
512x512;22538;181;2051
256x256;5598;33;526
256x256;5829;17;156
512x512;22227;184;1985
128x128;1406;8;162
256x256;5587;30;450
256x256;5613;17;155
512x512;22726;178;2114
512x512;22863;180;2263
256x256;5561;39;518
128x128;1399;8;97
128x128;1396;3;91
128x128;1496;3;93
128x128;1392;3;89
128x128;1415;3;89
512x512;22241;180;1975
512x512;22638;176;2241
256x256;5635;38;526
128x128;1477;8;93
512x512;23229;189;2035
256x256;5601;37;519
128x128;1393;8;94
512x512;22491;177;1957
512x512;22403;174;2247
128x128;1405;8;165
512x512;22848;174;2347
128x128;1431;7;165
128x128;1393;4;88
128x128;1398;3;89
512x512;22861;194;2550
128x128;1440;7;199
256x256;5661;39;446
128x128;1454;4;90
128x128;1505;3;86
128x128;1432;3;87
512x512;22873;185;1992
128x128;1400;6;162
256x256;5606;39;444
128x128;1482;3;90
256x256;5819;17;152
512x512;22947;178;2022
512x512;22995;173;2274
512x512;22966;173;2302
256x256;5706;39;531
128x128;1417;8;97
128x128;1413;3;92
256x256;5730;17;150
128x128;1429;3;97
256x256;5806;17;152
512x512;22973;180;1992
128x128;1403;7;162
256x256;5559;33;453
512x512;22525;173;1973
256x256;5668;33;519
512x512;24262;260;2215
256x256;6072;41;529
128x128;1625;8;94
512x512;23781;193;2079
256x256;5852;36;534
512x512;23444;176;2012
512x512;23405;172;2350
128x128;1468;9;166
256x256;5914;45;474
512x512;23314;181;2041
256x256;5707;38;529
128x128;1439;8;132
128x128;1444;3;103
512x512;22819;253;2015
512x512;22926;172;2308
512x512;22812;193;2392
512x512;23055;200;2558
256x256;5869;40;529
512x512;23510;183;2085
256x256;5614;34;522
256x256;5600;17;167
256x256;5612;16;172
512x512;22583;177;2019
256x256;5759;33;539
256x256;5732;18;191
512x512;22956;182;2052
256x256;5920;38;602
512x512;23026;184;2063
512x512;22906;172;2276
512x512;23238;195;2343
512x512;22507;162;2229
128x128;1402;8;193
512x512;22544;167;2198
256x256;5574;39;550
128x128;1394;8;96
256x256;5592;17;158
512x512;22584;170;2002
256x256;5791;31;519
128x128;1450;8;94
512x512;22347;178;1987
128x128;1469;7;161
128x128;1439;3;88
256x256;5842;37;444
512x512;22373;172;1973
512x512;22705;171;2285
128x128;1470;8;163
256x256;5945;41;548
128x128;1451;4;142
512x512;23151;185;2003
128x128;1399;6;164
256x256;5716;38;459
512x512;22578;178;2001
256x256;5654;36;524
512x512;22617;174;1950
256x256;5644;34;540
512x512;22857;178;1977
512x512;22645;170;2233
256x256;5785;41;522
256x256;5578;16;196
512x512;22456;174;1977
512x512;22843;172;2364
128x128;1463;9;164
256x256;5586;39;455
512x512;22341;167;1977
256x256;5603;36;580
512x512;24261;219;2349
512x512;23499;183;2289
256x256;5745;41;534
256x256;5743;18;172
128x128;1418;8;95
128x128;1431;3;93
256x256;5759;17;148
256x256;5731;16;162
128x128;1423;3;91
256x256;5774;18;165
256x256;5966;17;165
128x128;1423;4;89
128x128;1431;3;80
512x512;22956;178;2105
128x128;1429;7;166
512x512;23107;195;2266
512x512;22466;173;2292
512x512;22516;164;2267
256x256;5658;40;519
128x128;1412;8;96
512x512;22411;170;1945
512x512;22687;170;2254
512x512;22535;165;2257
128x128;1404;8;166
128x128;1399;3;93
512x512;22798;167;2194
512x512;22342;163;2225
128x128;1414;7;163
512x512;22573;210;2419
128x128;1469;10;198
512x512;22484;189;2530
128x128;1466;8;210
256x256;5877;41;441
512x512;22710;181;1978
256x256;5566;34;516
256x256;5606;16;170
512x512;22870;175;2029
256x256;5867;34;586
256x256;5589;17;168
512x512;22547;232;2077
512x512;22447;175;2267
512x512;22412;165;2342
256x256;5704;42;519
512x512;22797;171;2000
512x512;22547;168;2293
256x256;5617;39;519
512x512;22212;165;1948
512x512;22576;166;2241
256x256;5721;42;564
128x128;1406;8;100
128x128;1402;3;93
128x128;1400;3;88
512x512;22567;189;2192
256x256;6283;38;563
256x256;5672;17;169
512x512;22945;180;2020
512x512;23118;197;2332
128x128;1432;8;166
512x512;22733;178;2251
512x512;22922;172;2285
256x256;5735;40;528
128x128;1439;8;96
512x512;22849;167;1988
512x512;22992;177;2362
512x512;22313;166;2225
128x128;1397;8;164
128x128;1547;4;92
128x128;1408;3;91
128x128;1402;4;86
256x256;5704;40;506
512x512;22348;175;1984
128x128;1408;7;163
256x256;5769;40;500
256x256;5937;18;160
512x512;23143;188;2170
512x512;22553;172;2236
128x128;1531;8;167
256x256;5636;40;458
256x256;5639;17;170
128x128;1481;4;91
512x512;22526;176;1994
256x256;5615;34;521
512x512;22406;183;2062
512x512;22567;172;2239
256x256;5722;84;519
256x256;5655;18;204
512x512;22409;170;1990
512x512;22595;169;2239
256x256;5638;37;518
128x128;1400;8;96
512x512;22649;170;1970
128x128;1405;7;163
512x512;22623;173;2323
128x128;1413;7;161
512x512;22343;174;2412
512x512;22756;168;2285
128x128;1439;8;221
256x256;5850;41;456
256x256;5661;17;168
512x512;23349;191;2223
512x512;22896;176;2261
512x512;22794;177;2310
128x128;1438;8;170
128x128;1432;3;91
512x512;23327;197;2428
128x128;1432;8;165
512x512;23080;181;2242
256x256;5734;41;530
512x512;22930;169;1986
256x256;5734;34;626
