Size;Generation(µs);Serialization(µs);ToRedis(µs)
256x256;14782;39;1013
128x128;3626;9;233
512x512;58543;179;2651
256x256;15261;37;404
256x256;14744;31;459
512x512;60119;205;2617
128x128;3842;10;185
128x128;3727;6;157
256x256;14632;35;400
512x512;58709;226;2338
512x512;58756;250;2536
128x128;3825;9;216
512x512;59058;219;1763
512x512;59525;190;1631
512x512;59893;216;1756
256x256;14761;43;456
128x128;3807;8;202
256x256;14838;35;395
128x128;3774;11;165
128x128;3834;6;198
128x128;3624;2;167
512x512;57596;202;1661
512x512;57437;180;1542
256x256;14420;39;376
256x256;15377;40;408
256x256;14335;27;364
256x256;14407;18;345
512x512;59206;190;1435
512x512;57648;196;1720
256x256;14488;40;507
512x512;59153;203;1597
256x256;14797;40;417
512x512;58779;187;1599
256x256;14956;39;447
256x256;14713;21;416
256x256;14770;26;394
128x128;3656;9;172
256x256;14574;16;332
512x512;58752;205;1482
256x256;14794;40;431
256x256;14594;19;337
128x128;3676;9;154
256x256;15081;32;434
128x128;3662;8;157
128x128;3680;4;164
128x128;3687;3;152
512x512;57722;206;1759
512x512;59996;200;1495
512x512;59406;211;1723
128x128;3595;10;180
512x512;59117;267;1712
512x512;59149;214;1713
256x256;14907;54;441
256x256;14665;25;378
128x128;3910;9;170
512x512;60147;223;1462
512x512;59039;190;1317
256x256;14318;42;405
512x512;61351;198;1595
512x512;58636;195;1630
128x128;3973;12;186
256x256;15153;40;376
512x512;59640;190;1485
512x512;59018;190;1438
512x512;58645;186;1456
512x512;59472;197;1650
256x256;15199;41;466
128x128;3637;8;189
256x256;14551;39;515
256x256;14817;36;430
512x512;58638;224;1469
512x512;58887;192;1708
256x256;14529;39;418
256x256;14415;20;475
128x128;3645;7;174
512x512;58845;197;1540
256x256;14719;51;529
512x512;59386;194;1492
128x128;3677;8;176
512x512;60180;183;1613
128x128;3630;9;178
256x256;14931;49;373
128x128;3640;7;164
128x128;3619;2;190
512x512;58353;181;1602
128x128;3586;8;176
128x128;3642;4;170
