Size;Generation(µs);Serialization(µs);ToRedis(µs)
256x256;6178;19;438
512x512;24126;174;1095
128x128;1496;8;243
256x256;5962;32;451
256x256;6157;17;440
512x512;23881;170;1085
256x256;5973;32;377
512x512;24158;176;1143
512x512;24089;161;1226
512x512;23972;160;959
256x256;6154;37;652
256x256;6142;16;412
128x128;1563;8;159
128x128;1591;3;239
512x512;24099;170;1211
128x128;1486;6;220
128x128;1529;3;245
128x128;1489;4;253
128x128;1497;4;240
128x128;1509;3;215
128x128;1504;4;253
256x256;5975;32;415
256x256;6170;17;408
512x512;24369;175;1049
256x256;6180;32;389
256x256;6146;16;422
512x512;24361;205;1128
256x256;6057;32;484
128x128;1584;8;245
512x512;23918;167;1391
512x512;23895;153;1175
512x512;23940;148;1046
128x128;1607;8;230
512x512;24035;153;1069
256x256;6202;37;512
512x512;23934;153;1043
128x128;1595;8;262
256x256;6111;33;380
256x256;6159;16;741
256x256;6118;16;502
128x128;1536;4;261
128x128;1516;4;174
128x128;1543;3;196
256x256;5972;15;268
256x256;6300;16;457
512x512;24098;163;1116
512x512;23983;158;1284
256x256;5978;37;432
128x128;1554;8;253
256x256;6148;17;366
128x128;1551;3;291
128x128;1544;4;180
512x512;23982;172;1146
256x256;5950;32;460
512x512;24274;184;1026
512x512;23958;157;982
256x256;6136;36;395
256x256;6268;16;413
512x512;24069;163;942
512x512;24022;154;1187
512x512;24037;159;957
256x256;6091;38;438
256x256;6179;16;361
512x512;24223;164;1193
128x128;1522;8;171
512x512;23839;162;993
128x128;1546;7;237
512x512;24165;162;1065
256x256;6175;37;361
256x256;6156;17;331
512x512;24159;165;1011
128x128;1490;8;136
512x512;24092;182;1077
128x128;1498;8;215
128x128;1525;4;249
512x512;24426;195;1129
512x512;24070;173;1229
256x256;6006;38;496
512x512;24150;157;1255
512x512;23878;167;1135
512x512;23951;171;1460
256x256;6008;38;392
128x128;1542;8;253
128x128;1489;4;232
256x256;6039;17;497
512x512;24351;202;1321
512x512;23945;161;1310
256x256;6284;75;381
512x512;24042;168;1389
128x128;1486;8;196
256x256;5994;35;396
256x256;6120;17;416
512x512;24209;180;1227
128x128;1557;8;175
512x512;23955;165;1339
128x128;1576;9;217
512x512;24272;180;1380
256x256;6013;38;500
128x128;1602;8;199
256x256;6076;17;525
256x256;6151;19;464
512x512;24087;176;1067
512x512;23982;151;1294
512x512;24038;157;1131
256x256;6035;43;384
256x256;6177;17;510
256x256;6112;17;555
128x128;1588;7;257
512x512;24428;171;1183
512x512;24022;152;1116
512x512;23996;154;1190
256x256;5961;37;391
256x256;6164;17;319
512x512;24360;191;1065
256x256;6166;37;391
512x512;24104;164;829
256x256;6138;31;380
128x128;1579;8;201
512x512;24318;162;1242
512x512;23864;161;917
256x256;6156;36;439
128x128;1581;8;182
128x128;1594;3;193
128x128;1486;3;205
128x128;1492;3;142
128x128;1489;3;137
512x512;23974;192;1129
512x512;24035;168;1229
512x512;24091;148;925
128x128;1537;8;225
256x256;6018;39;376
256x256;6252;16;301
512x512;24123;169;1099
128x128;1538;8;156
256x256;6080;32;393
512x512;24096;168;1189
512x512;24079;187;981
256x256;6069;37;575
128x128;1544;8;152
512x512;24065;170;1306
256x256;6173;33;332
512x512;24126;228;1191
512x512;24062;172;1099
512x512;23948;159;1211
256x256;6107;38;486
512x512;24043;157;887
256x256;6108;34;509
512x512;24144;185;1271
256x256;6008;37;483
256x256;6163;18;408
512x512;24141;165;1129
256x256;6026;33;569
512x512;24068;165;1280
256x256;6146;33;370
512x512;24416;168;1181
512x512;23859;158;1004
512x512;23898;153;1256
512x512;24063;143;1124
512x512;24443;161;941
512x512;24114;148;1110
128x128;1588;8;178
256x256;6229;38;427
512x512;24097;162;1089
512x512;24111;150;1045
256x256;6037;37;387
256x256;6186;17;390
512x512;24103;160;1329
128x128;1591;8;253
128x128;1553;4;307
128x128;1541;4;274
256x256;6272;33;439
512x512;24021;160;1309
256x256;6140;31;428
256x256;6177;16;380
512x512;24505;163;1236
512x512;23982;155;1288
512x512;24009;157;1203
512x512;24067;154;1141
512x512;24179;176;1354
128x128;1544;8;218
512x512;24000;160;1617
128x128;1543;7;201
256x256;6165;39;488
512x512;24045;160;1213
256x256;6169;32;442
128x128;1547;7;280
256x256;6188;17;472
512x512;24220;162;1338
256x256;6205;32;554
256x256;6199;16;489
128x128;1540;7;254
512x512;23910;249;1229
256x256;6044;102;2779
512x512;23926;185;987
512x512;24032;165;1298
128x128;1613;8;221
128x128;1554;4;307
512x512;23739;160;1331
512x512;24162;186;1419
256x256;6159;38;476
256x256;6131;17;439
128x128;1592;8;252
512x512;24043;175;1442
128x128;1541;7;288
512x512;23910;156;1278
128x128;1546;7;172
256x256;5985;36;447
512x512;23964;157;1326
256x256;6115;32;453
512x512;23970;155;1303
128x128;1531;8;149
256x256;6074;32;437
128x128;1550;3;218
512x512;24013;154;1445
512x512;23895;155;1456
128x128;1530;7;295
512x512;23964;147;1178
128x128;1592;7;225
128x128;1552;3;1261
512x512;24156;183;1307
128x128;1593;8;248
512x512;23797;171;1169
512x512;24069;151;1390
128x128;1546;8;195
256x256;6098;39;461
512x512;24260;177;1243
512x512;23935;154;1259
256x256;6146;38;506
256x256;6158;17;371
256x256;6127;16;556
256x256;6214;16;517
512x512;24297;174;1486
256x256;6025;34;756
256x256;6174;18;357
256x256;6181;17;381
256x256;6239;16;503
128x128;1546;8;147
128x128;1578;3;215
512x512;24044;172;1463
128x128;1501;7;244
512x512;24044;208;1112
128x128;1580;8;216
512x512;24107;196;1346
256x256;6024;39;668
256x256;6142;17;516
128x128;1538;8;281
128x128;1543;4;157
128x128;1536;3;230
256x256;5972;17;501
512x512;24096;170;1414
512x512;23996;156;1152
256x256;5961;38;357
128x128;1599;8;209
128x128;1548;3;260
128x128;1500;4;252
256x256;5986;17;387
256x256;6227;17;376
128x128;1564;4;187
256x256;6110;16;352
128x128;1537;3;186
512x512;24312;168;1238
256x256;6159;37;391
512x512;24290;196;1492
256x256;5939;41;534
512x512;24185;216;1064
512x512;23971;181;1238
128x128;1640;8;223
256x256;6066;38;325
512x512;24646;192;1299
128x128;1572;8;125
256x256;6053;38;314
512x512;24059;177;1235
512x512;24218;178;1194
128x128;1545;8;125
256x256;6186;79;519
128x128;1585;6;252
