Size;Validation(µs)
128x128;177
128x128;138
256x256;3463
256x256;3703
256x256;3521
128x128;127
128x128;130
128x128;122
128x128;98
256x256;3926
256x256;3474
512x512;16539
128x128;77
512x512;16351
512x512;17130
256x256;3714
512x512;17207
512x512;16862
128x128;68
256x256;3456
128x128;76
512x512;16495
512x512;16926
512x512;16640
256x256;3436
128x128;71
256x256;3927
128x128;74
128x128;69
256x256;3376
128x128;78
512x512;16526
128x128;76
256x256;3193
512x512;16803
512x512;16574
128x128;69
512x512;16471
512x512;17053
256x256;3840
128x128;75
128x128;74
512x512;16481
256x256;3620
512x512;16675
128x128;112
256x256;3805
512x512;16530
512x512;16641
128x128;71
256x256;3156
512x512;16624
128x128;81
256x256;3181
256x256;3865
128x128;79
256x256;3925
512x512;17135
128x128;78
512x512;16842
256x256;3941
512x512;16592
256x256;3375
512x512;16596
512x512;16894
512x512;16667
256x256;3424
128x128;80
128x128;36
128x128;97
512x512;16634
128x128;77
512x512;16911
512x512;16985
256x256;3703
256x256;3798
128x128;108
512x512;16686
256x256;3707
512x512;16902
512x512;16838
512x512;16679
512x512;16387
128x128;84
512x512;16882
128x128;79
128x128;71
512x512;16337
256x256;3624
256x256;3657
256x256;3438
256x256;3664
256x256;3365
256x256;3629
128x128;73
128x128;64
512x512;16462
256x256;3677
256x256;3452
128x128;75
128x128;54
256x256;3668
512x512;16384
512x512;16856
256x256;3687
256x256;3755
512x512;16686
128x128;98
128x128;70
512x512;16893
256x256;3474
512x512;16478
128x128;129
256x256;3730
256x256;3393
128x128;93
512x512;16668
256x256;3453
512x512;16470
128x128;92
128x128;78
128x128;86
256x256;3896
128x128;78
512x512;16538
256x256;3686
256x256;3095
512x512;16384
512x512;17161
128x128;73
512x512;16605
512x512;16878
128x128;80
512x512;16742
128x128;79
256x256;3712
512x512;16874
256x256;3719
256x256;3789
128x128;75
512x512;16875
256x256;3176
256x256;3660
256x256;3626
128x128;111
512x512;16342
128x128;75
128x128;77
256x256;3513
256x256;3696
256x256;3460
128x128;78
256x256;3199
512x512;16316
128x128;67
512x512;16614
256x256;3110
