Size;Validation(µs)
256x256;3663
256x256;3144
128x128;76
128x128;73
256x256;3795
512x512;16478
128x128;71
128x128;133
128x128;130
256x256;3766
512x512;16624
512x512;16564
512x512;16376
256x256;3915
128x128;80
128x128;79
256x256;3405
128x128;76
256x256;3309
256x256;3844
512x512;17060
512x512;16391
128x128;55
256x256;3215
256x256;3412
512x512;16739
512x512;16336
512x512;16364
512x512;16353
512x512;17103
512x512;16341
512x512;16811
512x512;16916
128x128;71
256x256;3653
256x256;3758
256x256;3429
128x128;80
128x128;78
256x256;3886
512x512;16657
128x128;83
128x128;75
512x512;16856
128x128;66
256x256;3175
256x256;3766
128x128;79
128x128;82
512x512;16650
128x128;74
256x256;3604
512x512;16825
512x512;16645
128x128;79
512x512;16361
512x512;16606
256x256;3411
512x512;17046
128x128;73
512x512;16873
128x128;92
256x256;3367
256x256;3849
512x512;16832
128x128;74
256x256;3581
512x512;16975
512x512;16587
256x256;3329
512x512;17028
256x256;3437
512x512;16337
256x256;3974
128x128;74
128x128;73
128x128;184
128x128;86
256x256;3520
128x128;101
512x512;16951
256x256;3396
128x128;123
256x256;3541
128x128;90
128x128;65
128x128;72
256x256;3498
512x512;16995
512x512;16679
512x512;16912
512x512;16605
256x256;3635
512x512;16595
512x512;16307
512x512;16545
128x128;74
256x256;3289
128x128;74
128x128;82
256x256;3599
128x128;74
256x256;3907
512x512;16873
512x512;16407
512x512;16527
512x512;17026
512x512;16869
256x256;3474
256x256;3420
256x256;3393
256x256;3466
512x512;16764
128x128;128
128x128;57
256x256;3461
128x128;74
128x128;70
128x128;94
128x128;67
128x128;67
512x512;16870
128x128;77
512x512;16626
512x512;16849
512x512;16771
256x256;3621
512x512;16522
512x512;16767
256x256;3578
512x512;16394
128x128;89
512x512;16391
128x128;97
128x128;134
512x512;16826
512x512;16783
128x128;140
128x128;71
128x128;72
128x128;159
128x128;73
256x256;3448
256x256;3602
256x256;3451
256x256;3565
128x128;78
128x128;89
256x256;3357
512x512;16820
128x128;122
128x128;75
256x256;3425
256x256;3849
512x512;16774
256x256;3527
512x512;16358
128x128;71
128x128;112
256x256;3928
256x256;3621
128x128;127
512x512;17114
512x512;16964
512x512;16872
256x256;3461
256x256;3372
128x128;99
128x128;77
128x128;80
256x256;3829
512x512;16844
128x128;185
256x256;3584
128x128;96
256x256;3548
256x256;3705
512x512;16449
128x128;100
256x256;3467
512x512;16588
512x512;16332
128x128;75
128x128;103
128x128;75
256x256;3751
128x128;81
256x256;3869
512x512;17105
512x512;16332
512x512;16797
256x256;3630
512x512;16912
128x128;192
512x512;18734
256x256;4007
512x512;18469
128x128;319
512x512;17013
512x512;16790
512x512;17207
128x128;224
512x512;16944
128x128;140
512x512;16502
512x512;17077
512x512;16583
256x256;3399
256x256;3445
128x128;81
256x256;3487
512x512;16621
128x128;74
128x128;73
256x256;3386
128x128;77
512x512;16569
256x256;3351
256x256;3419
256x256;3850
512x512;16760
256x256;3465
128x128;110
256x256;3639
128x128;69
512x512;16707
512x512;16896
128x128;100
128x128;96
512x512;16677
256x256;3510
256x256;3530
256x256;3567
512x512;17088
128x128;66
256x256;3538
512x512;16544
256x256;3406
256x256;3530
256x256;3632
512x512;16809
128x128;77
512x512;16383
512x512;16425
128x128;67
128x128;88
512x512;16969
256x256;3704
512x512;16335
256x256;3373
512x512;16350
512x512;17026
128x128;72
128x128;73
128x128;75
128x128;113
128x128;72
512x512;16583
512x512;16668
128x128;75
128x128;86
512x512;16919
256x256;3600
512x512;16588
128x128;77
256x256;3673
128x128;80
256x256;3358
512x512;16536
512x512;16649
512x512;16908
256x256;3673
128x128;86
256x256;3551
512x512;17219
256x256;3269
128x128;75
256x256;3519
128x128;76
128x128;71
512x512;16659
128x128;57
512x512;16562
512x512;16551
256x256;3398
128x128;69
128x128;78
256x256;3400
512x512;16693
128x128;74
512x512;16995
128x128;65
512x512;16604
512x512;16374
256x256;3686
128x128;73
128x128;85
512x512;16836
128x128;91
128x128;75
256x256;3438
512x512;16306
256x256;3879
512x512;16703
128x128;79
128x128;76
256x256;3361
512x512;16542
256x256;3564
512x512;16874
512x512;16955
512x512;16447
256x256;3156
128x128;73
512x512;16441
512x512;17089
512x512;16898
128x128;111
256x256;3644
256x256;3483
256x256;3635
128x128;70
128x128;36
256x256;3716
512x512;16919
256x256;3207
512x512;17029
512x512;16625
512x512;16876
256x256;3122
512x512;16578
128x128;74
128x128;75
256x256;3128
256x256;3210
256x256;3145
256x256;3218
512x512;16599
256x256;3688
128x128;79
512x512;16950
512x512;16331
256x256;3201
256x256;3680
128x128;78
128x128;85
512x512;16326
512x512;16824
128x128;78
512x512;16380
128x128;74
256x256;3398
128x128;73
512x512;16930
256x256;3606
256x256;3482
128x128;101
256x256;3427
128x128;51
128x128;125
512x512;16651
128x128;67
256x256;3421
128x128;76
128x128;74
256x256;3757
256x256;3193
512x512;16495
128x128;64
256x256;3966
512x512;16806
512x512;17037
512x512;16680
512x512;16626
512x512;16601
128x128;70
128x128;63
512x512;16630
256x256;3426
256x256;3399
128x128;75
512x512;16532
128x128;71
512x512;16461
512x512;16463
256x256;3553
256x256;3459
512x512;16633
128x128;146
512x512;16610
512x512;16784
512x512;16759
512x512;16410
512x512;17100
512x512;16866
128x128;130
128x128;70
256x256;3150
512x512;16934
512x512;16330
128x128;68
128x128;100
256x256;3366
512x512;16808
512x512;17150
256x256;3605
512x512;17009
128x128;69
128x128;130
256x256;3895
512x512;16846
512x512;16788
512x512;16351
128x128;120
256x256;3901
128x128;76
128x128;67
128x128;75
256x256;3490
512x512;17024
128x128;74
512x512;16672
512x512;16881
128x128;67
512x512;16991
512x512;16851
256x256;3172
256x256;3727
512x512;17191
512x512;16617
128x128;76
512x512;17184
512x512;16594
128x128;78
128x128;81
512x512;16415
512x512;16874
128x128;73
256x256;3657
128x128;69
128x128;76
128x128;80
512x512;16636
512x512;16862
256x256;3934
128x128;79
512x512;16929
256x256;3435
256x256;3382
256x256;3683
256x256;3217
512x512;17101
512x512;17145
128x128;75
512x512;17023
128x128;151
512x512;16572
256x256;3568
256x256;3484
512x512;16865
512x512;17024
512x512;16686
512x512;16554
512x512;17011
256x256;3622
512x512;16902
128x128;63
512x512;16557
128x128;70
128x128;50
256x256;3475
128x128;80
256x256;3315
128x128;134
128x128;82
256x256;3130
512x512;17114
512x512;16455
512x512;16346
128x128;136
256x256;3685
256x256;3532
256x256;3586
128x128;132
512x512;16853
512x512;16918
512x512;16353
512x512;17101
128x128;68
256x256;3855
256x256;3444
128x128;78
512x512;16901
256x256;3320
512x512;16552
512x512;17067
256x256;3432
512x512;16693
512x512;16961
512x512;16756
512x512;16687
128x128;73
256x256;3448
512x512;16596
512x512;16395
512x512;16746
256x256;3860
256x256;3297
256x256;3596
128x128;64
512x512;16995
256x256;3952
128x128;77
512x512;16659
512x512;16577
128x128;74
512x512;16570
512x512;16821
512x512;16860
256x256;3459
128x128;74
256x256;3118
128x128;80
512x512;16478
256x256;3404
128x128;76
128x128;91
256x256;3670
256x256;3383
512x512;16899
128x128;80
512x512;16948
256x256;3792
256x256;3694
512x512;16916
512x512;17117
512x512;16604
256x256;3232
512x512;16802
256x256;3664
128x128;84
512x512;16881
512x512;16691
128x128;75
256x256;3187
128x128;75
256x256;3443
128x128;76
256x256;3155
256x256;3223
512x512;16633
256x256;3618
256x256;3508
128x128;95
128x128;76
512x512;17088
128x128;80
512x512;16778
512x512;16683
256x256;3967
256x256;3401
256x256;3256
512x512;22992
128x128;19
512x512;20011
256x256;3358
256x256;3617
256x256;3445
256x256;3608
128x128;80
256x256;3233
256x256;3199
128x128;83
512x512;16792
128x128;75
256x256;3842
512x512;16595
512x512;16655
512x512;17160
512x512;16855
128x128;110
512x512;16923
256x256;3993
256x256;3691
256x256;3410
512x512;16432
256x256;3870
128x128;68
512x512;16479
256x256;3399
128x128;68
128x128;39
256x256;3884
512x512;16291
128x128;96
128x128;103
128x128;95
512x512;16837
128x128;98
512x512;16813
512x512;16472
512x512;16773
256x256;3493
128x128;62
128x128;71
128x128;68
512x512;16853
256x256;3541
512x512;16661
256x256;3868
128x128;66
128x128;74
128x128;69
256x256;3576
128x128;72
128x128;70
128x128;64
512x512;16789
256x256;3415
256x256;3994
512x512;17146
512x512;18950
512x512;16365
512x512;16957
256x256;3459
512x512;16929
512x512;16515
128x128;72
512x512;16710
128x128;83
512x512;16740
256x256;3506
512x512;17030
256x256;3170
256x256;3436
512x512;16561
512x512;16707
128x128;98
256x256;3489
256x256;3564
256x256;3493
512x512;16660
128x128;95
128x128;136
256x256;3588
256x256;3599
128x128;62
128x128;81
128x128;74
512x512;16729
512x512;16579
512x512;18262
512x512;16487
256x256;3642
128x128;81
512x512;16901
128x128;95
512x512;17065
256x256;3669
256x256;3641
512x512;16696
256x256;3716
512x512;17000
128x128;20
128x128;73
256x256;3595
128x128;73
512x512;16902
512x512;16781
256x256;3670
512x512;16584
256x256;3375
128x128;19
128x128;68
128x128;76
128x128;52
512x512;16527
512x512;16566
128x128;88
256x256;3427
512x512;16528
128x128;73
512x512;16637
512x512;16775
512x512;16620
256x256;3350
512x512;16334
512x512;16695
128x128;138
128x128;107
512x512;16632
128x128;100
512x512;17098
128x128;71
128x128;77
128x128;72
256x256;3153
128x128;77
128x128;57
128x128;96
256x256;3671
128x128;67
256x256;3675
512x512;17001
256x256;3507
128x128;73
512x512;17057
128x128;86
128x128;89
128x128;73
128x128;79
256x256;3452
256x256;3430
128x128;119
128x128;73
256x256;3679
256x256;3756
512x512;16790
256x256;3398
128x128;67
128x128;206
512x512;16659
256x256;3596
512x512;16972
512x512;16404
256x256;4003
128x128;72
256x256;3438
128x128;80
128x128;79
256x256;3576
256x256;3705
512x512;16590
256x256;3739
256x256;3721
512x512;16777
128x128;80
128x128;87
128x128;89
128x128;65
512x512;16439
256x256;3707
256x256;3595
256x256;3745
512x512;16403
128x128;83
512x512;16394
256x256;3760
128x128;87
128x128;82
128x128;80
512x512;16694
128x128;74
128x128;66
512x512;16335
256x256;3224
512x512;16974
256x256;3170
128x128;74
512x512;16795
256x256;3834
128x128;86
256x256;3576
512x512;17038
512x512;16935
512x512;16382
128x128;90
256x256;3704
256x256;3727
128x128;72
512x512;16882
128x128;87
512x512;16304
128x128;77
512x512;16701
512x512;16387
128x128;95
128x128;94
512x512;16564
128x128;75
128x128;84
512x512;17036
128x128;75
256x256;3104
256x256;3173
512x512;17006
512x512;16779
128x128;96
256x256;3945
512x512;16545
128x128;72
256x256;3490
512x512;16354
256x256;3753
128x128;140
128x128;80
128x128;74
256x256;3529
512x512;16359
512x512;16372
512x512;16955
256x256;3122
256x256;3425
256x256;3820
256x256;3677
256x256;3404
256x256;3609
128x128;56
512x512;16773
256x256;3423
512x512;16557
128x128;74
512x512;16876
256x256;3962
512x512;16556
256x256;3703
256x256;3881
256x256;3513
128x128;82
128x128;95
256x256;3966
512x512;16347
256x256;3749
512x512;16815
256x256;3957
256x256;3701
256x256;3926
128x128;75
512x512;16860
512x512;16864
512x512;16891
128x128;74
256x256;3489
128x128;76
128x128;70
512x512;16727
128x128;70
256x256;3508
256x256;3507
512x512;16761
256x256;3531
256x256;3437
512x512;16681
