Size;Generation(µs);Sending(µs)
128x128;1478;184
256x256;5929;3606
128x128;1507;113
256x256;6155;3527
256x256;5978;3699
512x512;24365;16525
128x128;1574;149
256x256;6031;3522
512x512;23687;16673
512x512;23664;16363
128x128;1567;109
128x128;1467;113
128x128;1511;108
256x256;5988;3771
128x128;1481;125
256x256;5893;3889
512x512;23364;17135
512x512;23582;16392
512x512;26051;16837
256x256;6382;3668
512x512;24965;16897
128x128;1557;253
512x512;25348;16951
256x256;6616;3819
512x512;25630;18638
128x128;1761;237
512x512;25985;16934
512x512;25268;16840
512x512;25544;16917
128x128;1792;283
512x512;26823;17037
128x128;1512;168
512x512;24177;16526
512x512;26681;17114
512x512;24715;16649
256x256;6581;3435
256x256;5993;3523
128x128;1644;131
256x256;5991;3536
512x512;24460;16685
128x128;1509;118
128x128;1481;113
256x256;6051;3445
128x128;1482;111
512x512;23972;16629
256x256;5935;3399
256x256;5998;3470
256x256;6093;3897
512x512;24082;16784
256x256;6008;3496
128x128;1475;127
256x256;6603;3692
128x128;1511;116
512x512;23764;16739
512x512;24225;16932
128x128;1496;122
128x128;1474;112
512x512;24514;16707
256x256;5891;3501
256x256;5969;3576
256x256;5878;3587
512x512;23672;17098
128x128;1544;114
256x256;5984;3591
512x512;23742;16615
256x256;5953;3464
256x256;6090;3552
256x256;5904;3649
512x512;23740;16874
128x128;1487;108
512x512;23442;16429
512x512;23584;16461
128x128;1476;106
128x128;1479;109
512x512;23576;16997
256x256;6019;3759
512x512;23415;16372
256x256;5918;3428
512x512;23634;16400
512x512;23616;17045
128x128;1470;114
128x128;1488;108
128x128;1502;110
128x128;1526;154
128x128;1513;108
512x512;23581;16633
512x512;23967;16686
128x128;1521;109
128x128;1495;109
512x512;23911;16971
256x256;5900;3652
512x512;23732;16631
128x128;1480;110
256x256;5915;3695
128x128;1461;114
256x256;5888;3415
512x512;23641;16606
512x512;23832;16665
512x512;23543;16899
256x256;5925;3701
128x128;1474;114
256x256;5884;3619
512x512;24219;17240
256x256;5925;3231
128x128;1460;108
256x256;5900;3539
128x128;1584;118
128x128;1562;109
512x512;24929;16725
128x128;1498;116
512x512;23436;16600
512x512;23684;16587
256x256;5911;3433
128x128;1484;109
128x128;1472;108
256x256;6031;3430
512x512;23649;16756
128x128;1573;110
512x512;23742;17016
128x128;1480;113
512x512;23918;16651
512x512;23588;16415
256x256;5852;3729
128x128;1476;108
128x128;1463;110
512x512;23532;16885
128x128;1494;113
128x128;1476;109
256x256;5867;3479
512x512;23611;16370
256x256;5848;3901
512x512;23750;16720
128x128;1473;108
128x128;1475;108
256x256;5870;3383
512x512;23628;16586
256x256;5841;3570
512x512;23643;16916
512x512;23193;16978
512x512;23111;16465
256x256;5900;3149
128x128;1483;108
512x512;23555;16457
512x512;23530;17115
512x512;23703;16931
128x128;1553;132
256x256;5866;3658
256x256;5953;3535
256x256;5877;3636
128x128;1486;112
128x128;1483;111
256x256;5906;3735
512x512;23617;16926
256x256;5917;3250
512x512;23571;17061
512x512;23563;16685
512x512;23609;16920
256x256;5955;3169
512x512;23464;16623
128x128;1570;107
128x128;1559;106
256x256;5944;3162
256x256;6005;3243
256x256;5900;3168
256x256;5866;3251
512x512;23885;16651
256x256;5852;3709
128x128;1484;114
