Size;Validation(µs)
128x128;162
128x128;110
256x256;3411
256x256;3677
256x256;3470
128x128;159
128x128;107
128x128;104
128x128;96
256x256;3952
256x256;3472
512x512;16538
128x128;100
512x512;16341
512x512;17093
256x256;3702
512x512;17105
512x512;16850
128x128;151
256x256;3468
128x128;74
512x512;16494
512x512;16947
512x512;16606
256x256;3460
128x128;29
256x256;3915
128x128;30
128x128;34
256x256;3371
128x128;91
512x512;16490
128x128;94
256x256;3180
512x512;16740
512x512;16533
128x128;62
512x512;16460
512x512;17041
256x256;3836
128x128;74
128x128;73
512x512;16518
256x256;3672
512x512;16610
128x128;58
256x256;3818
512x512;16517
512x512;16604
128x128;64
256x256;3151
512x512;16602
128x128;76
256x256;3174
256x256;3845
128x128;68
256x256;3872
512x512;17195
128x128;73
512x512;16807
256x256;3905
512x512;16563
256x256;3344
512x512;16545
512x512;16911
512x512;16601
256x256;3394
128x128;84
128x128;37
128x128;96
512x512;16616
128x128;68
512x512;16867
512x512;17036
256x256;3707
256x256;3787
128x128;118
512x512;16647
256x256;3689
512x512;16944
512x512;16858
512x512;16613
512x512;16324
128x128;84
512x512;16902
128x128;75
128x128;95
512x512;16277
256x256;3609
256x256;3664
256x256;3420
256x256;3670
256x256;3363
256x256;3631
128x128;80
128x128;72
512x512;16411
256x256;3669
256x256;3477
128x128;78
128x128;68
256x256;3630
512x512;16389
512x512;16851
256x256;3689
256x256;3790
512x512;16727
128x128;94
128x128;77
512x512;16926
256x256;3491
512x512;16419
128x128;164
256x256;3722
256x256;3393
128x128;79
512x512;16645
256x256;3449
512x512;16443
128x128;80
128x128;77
128x128;70
256x256;3895
128x128;23
512x512;16475
256x256;3672
256x256;3130
512x512;16413
512x512;17165
128x128;65
512x512;16576
512x512;16856
128x128;82
512x512;16727
128x128;101
256x256;3707
512x512;16836
256x256;3716
256x256;3771
128x128;89
512x512;16871
256x256;3178
256x256;3666
256x256;3648
128x128;111
512x512;16324
128x128;70
128x128;67
256x256;3514
256x256;3683
256x256;3426
128x128;80
256x256;3212
512x512;16340
128x128;63
512x512;16643
256x256;3140
256x256;3710
256x256;3154
128x128;99
128x128;87
256x256;3788
512x512;16444
128x128;68
128x128;80
128x128;75
256x256;3745
512x512;16623
512x512;16542
512x512;16320
256x256;3911
128x128;89
128x128;59
256x256;3399
128x128;74
256x256;3292
256x256;3842
512x512;17019
512x512;16385
128x128;55
256x256;3223
256x256;3391
512x512;16739
512x512;16309
512x512;16366
512x512;16320
512x512;17129
512x512;16331
512x512;16805
512x512;16879
128x128;69
256x256;3676
256x256;3723
256x256;3404
128x128;79
128x128;35
256x256;3909
512x512;16622
128x128;84
128x128;77
512x512;16886
128x128;58
256x256;3193
256x256;3761
128x128;67
128x128;93
512x512;16589
128x128;40
256x256;3585
512x512;16815
512x512;16673
128x128;78
512x512;16337
512x512;16632
256x256;3377
512x512;16986
128x128;96
512x512;16835
128x128;15
256x256;3366
256x256;3852
512x512;16848
128x128;71
256x256;3543
512x512;16962
512x512;16574
256x256;3306
512x512;17017
256x256;3425
512x512;16366
256x256;3970
128x128;76
128x128;90
128x128;108
128x128;134
256x256;3526
128x128;111
512x512;17015
256x256;3415
128x128;126
256x256;3520
128x128;89
128x128;75
128x128;85
256x256;3465
512x512;16988
512x512;16681
512x512;16899
512x512;16591
256x256;3657
512x512;16601
512x512;16279
512x512;16489
128x128;95
256x256;3267
128x128;75
128x128;83
256x256;3617
128x128;67
256x256;3889
512x512;16904
512x512;16371
512x512;16520
512x512;17029
512x512;16858
256x256;3394
256x256;3419
256x256;3390
256x256;3427
512x512;16737
128x128;141
128x128;100
256x256;3462
128x128;85
128x128;84
128x128;125
128x128;66
128x128;66
512x512;16835
128x128;70
512x512;16599
512x512;16830
512x512;16778
256x256;3633
512x512;16456
512x512;16765
256x256;3532
512x512;16406
128x128;100
512x512;16403
128x128;119
128x128;144
512x512;16824
512x512;16760
128x128;105
128x128;95
128x128;73
128x128;158
128x128;157
256x256;3444
256x256;3571
256x256;3475
256x256;3607
128x128;62
128x128;60
256x256;3381
512x512;16842
128x128;121
128x128;69
256x256;3446
256x256;3849
512x512;16770
256x256;3578
512x512;16360
128x128;65
128x128;81
256x256;3918
256x256;3647
128x128;123
512x512;17103
512x512;16950
512x512;16894
256x256;3443
256x256;3379
128x128;73
128x128;70
128x128;73
256x256;3899
512x512;16896
128x128;124
256x256;3544
128x128;68
256x256;3452
256x256;3702
512x512;16472
128x128;116
256x256;3493
512x512;16677
512x512;16335
128x128;65
128x128;103
128x128;71
256x256;3743
128x128;121
256x256;3816
512x512;17098
512x512;16372
512x512;16837
256x256;3624
512x512;16901
128x128;168
512x512;17787
256x256;3985
512x512;18655
128x128;286
512x512;17001
512x512;16821
512x512;17164
128x128;688
512x512;16546
128x128;67
512x512;16503
512x512;17076
512x512;16576
256x256;3372
256x256;3467
128x128;83
256x256;3467
512x512;16586
128x128;54
128x128;65
256x256;3442
128x128;77
512x512;16559
256x256;3405
256x256;3462
256x256;3868
512x512;16755
256x256;3467
128x128;110
256x256;3697
128x128;67
512x512;16702
512x512;16906
128x128;52
128x128;74
512x512;16661
256x256;3442
256x256;3522
256x256;3513
512x512;17058
128x128;59
256x256;3538
512x512;16599
256x256;3405
256x256;3561
256x256;3641
512x512;16846
128x128;85
512x512;16397
512x512;16398
128x128;66
128x128;109
512x512;16987
256x256;3724
512x512;16325
256x256;3392
512x512;16322
512x512;17018
128x128;75
128x128;72
128x128;79
128x128;117
128x128;68
512x512;16560
512x512;16610
128x128;84
128x128;64
512x512;16926
256x256;3622
512x512;16577
128x128;102
256x256;3624
128x128;91
256x256;3380
512x512;16539
512x512;16592
512x512;16914
256x256;3696
128x128;73
256x256;3574
512x512;17243
256x256;3262
128x128;82
256x256;3466
128x128;53
128x128;73
512x512;16656
128x128;57
512x512;16538
512x512;16537
256x256;3372
128x128;73
128x128;76
256x256;3423
512x512;16718
128x128;67
512x512;16980
128x128;61
512x512;16577
512x512;16344
256x256;3680
128x128;84
128x128;122
512x512;16837
128x128;79
128x128;82
256x256;3411
512x512;16307
256x256;3876
512x512;16644
128x128;82
128x128;73
256x256;3334
512x512;16538
256x256;3535
512x512;16869
512x512;16947
512x512;16394
256x256;3128
128x128;86
512x512;16390
512x512;17080
512x512;16890
128x128;105
256x256;3632
256x256;3483
256x256;3608
128x128;92
128x128;37
256x256;3716
512x512;16891
256x256;3229
512x512;17054
512x512;16667
512x512;16864
256x256;3126
512x512;16563
128x128;68
128x128;67
256x256;3128
256x256;3203
256x256;3145
256x256;3214
512x512;16620
256x256;3668
128x128;83
512x512;16974
512x512;16276
256x256;3203
256x256;3679
128x128;88
128x128;64
512x512;16340
512x512;16838
128x128;90
512x512;16383
128x128;69
256x256;3371
128x128;67
512x512;16944
256x256;3560
256x256;3483
128x128;64
256x256;3324
128x128;51
128x128;104
512x512;16621
128x128;79
256x256;3449
128x128;58
128x128;70
256x256;3754
256x256;3196
512x512;16431
128x128;79
256x256;3988
512x512;16775
512x512;17052
512x512;16653
512x512;16662
512x512;16603
128x128;79
128x128;93
512x512;16625
256x256;3424
256x256;3420
128x128;74
512x512;16586
128x128;101
512x512;16379
512x512;16439
256x256;3576
256x256;3452
512x512;16574
128x128;155
512x512;16629
512x512;16761
512x512;16733
512x512;16375
512x512;17062
512x512;16852
128x128;96
128x128;96
256x256;3145
512x512;16897
512x512;16313
128x128;93
128x128;98
256x256;3339
512x512;16856
512x512;17154
256x256;3636
512x512;17032
128x128;90
128x128;109
256x256;3939
512x512;16845
512x512;16807
512x512;16376
128x128;101
256x256;3924
128x128;70
128x128;43
128x128;74
256x256;3425
512x512;17037
128x128;73
512x512;16658
512x512;16838
128x128;84
512x512;16958
512x512;16826
256x256;3111
256x256;3721
512x512;17160
512x512;16556
128x128;71
512x512;17111
512x512;16555
128x128;32
128x128;79
512x512;16388
512x512;16907
128x128;72
256x256;3649
128x128;31
128x128;101
128x128;78
512x512;16572
512x512;16922
256x256;3959
128x128;72
512x512;16928
256x256;3427
256x256;3358
256x256;3671
256x256;3183
512x512;17089
512x512;17209
128x128;69
512x512;16986
128x128;85
512x512;16531
256x256;3614
256x256;3408
512x512;16848
512x512;16984
512x512;16696
512x512;16478
512x512;17011
256x256;3586
512x512;16888
128x128;41
512x512;16630
128x128;48
128x128;51
256x256;3501
128x128;81
256x256;3348
128x128;105
128x128;86
256x256;3147
512x512;17113
512x512;16457
512x512;16317
128x128;109
256x256;3709
256x256;3530
256x256;3522
128x128;131
512x512;16876
512x512;16904
512x512;16400
512x512;17087
128x128;75
256x256;3820
256x256;3408
128x128;61
512x512;16892
256x256;3257
512x512;16543
512x512;17055
256x256;3415
512x512;16681
512x512;16972
512x512;16720
512x512;16732
128x128;67
256x256;3440
512x512;16580
512x512;16463
512x512;16705
256x256;3842
256x256;3230
256x256;3559
128x128;36
512x512;16976
256x256;3945
128x128;135
512x512;16626
512x512;16539
128x128;97
512x512;16570
512x512;16782
512x512;16874
256x256;3453
128x128;68
256x256;3112
128x128;80
512x512;16431
256x256;3339
128x128;28
128x128;108
256x256;3723
256x256;3457
512x512;16921
128x128;89
512x512;16916
256x256;3794
256x256;3630
512x512;16944
512x512;17106
512x512;16589
256x256;3229
512x512;16786
256x256;3688
128x128;25
512x512;16868
512x512;16681
128x128;24
256x256;3156
128x128;75
256x256;3444
128x128;68
256x256;3156
256x256;3188
512x512;16594
256x256;3605
256x256;3481
128x128;94
128x128;71
512x512;17084
128x128;62
512x512;16766
512x512;16654
256x256;3960
256x256;3399
256x256;3255
512x512;22947
128x128;35
512x512;19166
256x256;3572
256x256;4025
256x256;3411
256x256;3643
128x128;71
256x256;3224
256x256;3192
128x128;85
512x512;16755
128x128;75
256x256;3815
512x512;16600
512x512;16603
512x512;17111
512x512;16907
128x128;102
512x512;16910
256x256;3981
256x256;3676
256x256;3383
512x512;16425
256x256;3871
128x128;75
512x512;16465
256x256;3402
128x128;96
128x128;106
256x256;3930
512x512;16271
128x128;73
128x128;85
128x128;75
512x512;16874
128x128;69
512x512;16825
512x512;16373
512x512;16798
256x256;3479
128x128;40
128x128;82
128x128;98
512x512;16861
256x256;3520
512x512;16648
256x256;3850
128x128;76
128x128;79
128x128;47
256x256;3598
128x128;103
128x128;78
128x128;71
512x512;16809
256x256;3401
256x256;3973
512x512;17155
512x512;18957
512x512;16324
512x512;16963
256x256;3429
512x512;16912
512x512;16490
128x128;71
512x512;16708
128x128;82
512x512;16711
256x256;3456
512x512;16974
256x256;3166
256x256;3449
512x512;16541
512x512;16732
128x128;74
256x256;3479
256x256;3539
256x256;3465
512x512;16561
128x128;91
128x128;69
256x256;3475
256x256;3583
128x128;78
128x128;79
128x128;83
512x512;16742
512x512;16571
512x512;19710
512x512;16394
256x256;3630
128x128;57
512x512;16926
128x128;96
512x512;17053
256x256;3669
256x256;3687
512x512;16690
256x256;3678
512x512;16988
128x128;69
128x128;73
256x256;3621
128x128;30
512x512;16894
512x512;16770
256x256;3695
512x512;16619
256x256;3355
128x128;23
128x128;88
128x128;82
128x128;69
512x512;16494
512x512;16594
128x128;110
256x256;3371
512x512;16554
128x128;66
512x512;16658
512x512;16816
512x512;16627
256x256;3327
512x512;16270
512x512;16687
128x128;168
128x128;80
512x512;16603
128x128;101
512x512;17085
128x128;71
128x128;90
128x128;68
256x256;3154
128x128;94
128x128;57
128x128;68
256x256;3698
128x128;33
256x256;3680
512x512;16913
256x256;3482
128x128;46
512x512;16989
128x128;77
128x128;84
128x128;64
128x128;66
256x256;3466
256x256;3404
128x128;78
128x128;84
256x256;3661
256x256;3737
512x512;16752
256x256;3399
128x128;67
128x128;132
512x512;16630
256x256;3581
512x512;16908
512x512;16340
256x256;4000
128x128;66
256x256;3429
128x128;72
128x128;93
256x256;3532
256x256;3726
512x512;16552
256x256;3731
256x256;3721
512x512;16802
128x128;81
128x128;136
128x128;58
128x128;34
512x512;16404
256x256;3667
256x256;3624
256x256;3709
512x512;16379
128x128;72
512x512;16382
256x256;3784
128x128;80
128x128;74
128x128;77
512x512;16698
128x128;67
128x128;40
512x512;16304
256x256;3227
512x512;16933
256x256;3205
128x128;65
512x512;16731
256x256;3793
128x128;67
256x256;3598
512x512;17008
512x512;16908
512x512;16381
128x128;80
256x256;3722
256x256;3724
128x128;73
512x512;16843
128x128;86
512x512;16296
128x128;69
512x512;16689
512x512;16402
128x128;82
128x128;73
512x512;16578
128x128;26
128x128;89
512x512;17059
128x128;69
256x256;3136
256x256;3152
512x512;17028
512x512;16804
128x128;79
256x256;3960
512x512;16557
128x128;79
256x256;3500
512x512;16381
256x256;3738
128x128;105
128x128;74
128x128;66
256x256;3471
512x512;16367
512x512;16336
512x512;16922
