Size;Validation(µs)
128x128;83
128x128;32
256x256;3707
512x512;16883
256x256;3279
512x512;17027
512x512;16638
512x512;16860
256x256;3107
512x512;16567
128x128;66
128x128;65
256x256;3128
256x256;3206
256x256;3146
256x256;3212
512x512;16592
256x256;3622
128x128;73
512x512;16959
512x512;16264
256x256;3196
256x256;3671
128x128;62
128x128;62
512x512;16307
512x512;16784
128x128;63
512x512;16332
128x128;71
256x256;3374
128x128;31
512x512;16923
256x256;3548
256x256;3477
128x128;69
256x256;3337
128x128;28
128x128;121
512x512;16629
128x128;37
256x256;3438
128x128;63
128x128;73
256x256;3725
256x256;3165
512x512;16426
128x128;42
256x256;3981
512x512;16846
512x512;16989
512x512;17419
512x512;16682
512x512;16608
128x128;81
128x128;97
512x512;16596
256x256;3484
256x256;3464
128x128;78
512x512;16546
128x128;101
512x512;16407
512x512;16426
256x256;3560
256x256;3508
512x512;16570
128x128;159
512x512;16608
512x512;16740
512x512;16733
512x512;16376
512x512;17063
512x512;16855
128x128;98
128x128;94
256x256;3148
512x512;16897
512x512;16309
128x128;89
128x128;98
256x256;3337
512x512;16807
512x512;17141
256x256;3592
512x512;17004
128x128;87
128x128;113
256x256;3907
512x512;16831
512x512;16761
512x512;16348
128x128;97
256x256;3926
128x128;67
128x128;77
128x128;72
256x256;3424
512x512;17048
128x128;70
512x512;16639
512x512;16841
128x128;71
512x512;16959
512x512;16837
256x256;3141
256x256;3690
512x512;17160
512x512;16554
128x128;69
512x512;17146
512x512;16527
128x128;60
128x128;78
512x512;16391
512x512;16905
128x128;69
256x256;3646
128x128;30
128x128;99
128x128;70
512x512;16572
512x512;16885
256x256;3957
128x128;74
512x512;16927
256x256;3422
256x256;3362
256x256;3669
256x256;3181
512x512;17089
512x512;17135
128x128;68
512x512;16956
128x128;142
512x512;16592
256x256;3620
256x256;3449
512x512;16865
512x512;17037
512x512;16717
512x512;16497
512x512;16947
256x256;3627
512x512;16953
128x128;41
512x512;16572
128x128;132
128x128;97
256x256;3478
128x128;72
256x256;3327
128x128;141
128x128;97
256x256;3186
512x512;17039
512x512;16397
512x512;16357
128x128;109
256x256;3680
256x256;3492
256x256;3613
128x128;131
512x512;16916
512x512;16908
512x512;16398
512x512;17090
128x128;71
256x256;3827
256x256;3432
128x128;62
512x512;16896
256x256;3259
512x512;16538
512x512;17057
256x256;3422
512x512;16667
512x512;16969
512x512;16750
512x512;16697
128x128;77
256x256;3451
512x512;16558
512x512;16377
512x512;16715
256x256;3855
256x256;3245
256x256;3589
128x128;40
512x512;16989
256x256;3943
128x128;77
512x512;16630
512x512;16554
128x128;98
512x512;16545
512x512;16794
512x512;16889
256x256;3457
128x128;70
256x256;3113
128x128;85
512x512;16416
256x256;3342
128x128;64
128x128;109
256x256;3657
256x256;3424
512x512;16916
128x128;71
512x512;16918
256x256;3816
256x256;3678
512x512;16968
512x512;17103
512x512;16592
256x256;3231
512x512;16790
256x256;3695
128x128;22
512x512;16864
512x512;16652
128x128;25
256x256;3190
128x128;78
256x256;3445
128x128;29
256x256;3159
256x256;3187
512x512;16594
256x256;3607
256x256;3483
128x128;69
128x128;72
512x512;17054
128x128;24
512x512;16764
512x512;16608
256x256;3957
256x256;3400
256x256;3241
512x512;22971
128x128;15
512x512;19985
256x256;3385
256x256;4025
256x256;3408
256x256;3587
128x128;70
256x256;3226
256x256;3195
128x128;82
512x512;16757
128x128;73
256x256;3811
512x512;16554
512x512;16603
512x512;17106
512x512;16852
128x128;129
512x512;16914
256x256;3984
256x256;3681
256x256;3362
512x512;16427
256x256;3874
128x128;76
512x512;16468
256x256;3389
128x128;81
128x128;103
256x256;3924
512x512;16271
128x128;77
128x128;79
128x128;102
512x512;16886
128x128;72
512x512;16842
512x512;16432
512x512;16795
256x256;3459
128x128;41
128x128;79
128x128;76
512x512;16863
256x256;3551
512x512;16667
256x256;3813
128x128;78
128x128;82
128x128;46
256x256;3604
128x128;106
128x128;76
128x128;79
512x512;16781
256x256;3404
256x256;3970
512x512;17151
512x512;18954
512x512;16324
512x512;16962
256x256;3398
512x512;16915
512x512;16489
128x128;58
512x512;16712
128x128;80
512x512;16764
256x256;3435
512x512;16974
256x256;3205
256x256;3434
512x512;16555
512x512;16681
128x128;88
256x256;3462
256x256;3515
256x256;3519
512x512;16650
128x128;69
128x128;68
256x256;3475
256x256;3587
128x128;75
128x128;78
128x128;97
512x512;16738
512x512;16575
512x512;18127
512x512;16309
256x256;3628
128x128;56
512x512;16899
128x128;82
512x512;17051
256x256;3676
256x256;3646
512x512;16694
256x256;3679
512x512;16985
128x128;68
128x128;71
256x256;3554
128x128;30
512x512;16891
512x512;16773
256x256;3693
512x512;16602
256x256;3359
128x128;20
128x128;90
128x128;80
128x128;33
512x512;16497
512x512;16588
128x128;101
256x256;3368
512x512;16550
128x128;83
512x512;16612
512x512;16851
512x512;16597
256x256;3377
512x512;16331
512x512;16658
128x128;21
128x128;107
512x512;16599
128x128;70
512x512;17098
128x128;80
128x128;64
128x128;70
256x256;3136
128x128;91
128x128;38
128x128;69
256x256;3700
128x128;32
256x256;3665
512x512;16927
256x256;3477
128x128;52
512x512;17003
128x128;78
128x128;88
128x128;80
128x128;93
256x256;3457
256x256;3414
128x128;87
128x128;95
256x256;3673
256x256;3751
512x512;16745
256x256;3388
128x128;70
128x128;144
512x512;16628
256x256;3547
512x512;16949
512x512;16356
256x256;4054
128x128;76
256x256;3440
128x128;85
128x128;44
256x256;3543
256x256;3722
512x512;16561
256x256;3728
256x256;3709
512x512;16797
128x128;80
128x128;86
128x128;85
128x128;70
512x512;16408
256x256;3689
256x256;3592
256x256;3720
512x512;16375
128x128;71
512x512;16384
256x256;3782
128x128;110
128x128;84
128x128;85
512x512;16717
128x128;76
128x128;44
512x512;16319
256x256;3225
512x512;16978
256x256;3176
128x128;74
512x512;16726
256x256;3834
128x128;75
256x256;3576
512x512;16996
512x512;16937
512x512;16412
128x128;76
256x256;3696
256x256;3691
128x128;84
512x512;16853
128x128;68
512x512;16273
128x128;84
512x512;16693
512x512;16400
128x128;63
128x128;49
512x512;16573
128x128;68
128x128;88
512x512;17061
128x128;71
256x256;3133
256x256;3150
512x512;17027
512x512;16807
128x128;82
256x256;3956
512x512;16563
128x128;85
256x256;3495
512x512;16367
256x256;3723
128x128;107
128x128;76
128x128;68
256x256;3480
512x512;16321
512x512;16335
512x512;16922
256x256;3117
256x256;3393
256x256;3862
256x256;3659
256x256;3406
256x256;3557
128x128;99
512x512;16791
256x256;3410
512x512;16552
128x128;92
512x512;16877
256x256;3915
512x512;16534
256x256;3667
256x256;3857
256x256;3515
128x128;71
128x128;65
256x256;3943
512x512;16340
256x256;3728
512x512;16823
256x256;3958
256x256;3672
256x256;3890
