Size;Generation(µs);Serialization(µs);ToRedis(µs)
256x256;6360;37;854
128x128;1584;10;289
256x256;6219;41;553
256x256;6920;45;495
512x512;24870;186;2114
128x128;1525;8;228
256x256;5891;37;416
256x256;6048;17;361
128x128;1480;4;258
512x512;23815;183;1536
256x256;6052;38;347
512x512;24017;179;1246
512x512;24266;201;1416
128x128;1506;8;268
128x128;1492;4;270
128x128;1475;4;253
512x512;23977;176;1200
256x256;6217;42;452
128x128;1522;5;265
256x256;5879;17;299
256x256;6075;16;360
512x512;23668;171;1202
128x128;1542;6;305
128x128;1521;4;278
512x512;23801;185;1037
256x256;5904;37;352
512x512;23781;172;962
128x128;1526;8;260
128x128;1517;4;231
128x128;1493;4;251
512x512;24223;174;900
256x256;6075;39;358
512x512;24108;172;1252
512x512;23944;165;1102
512x512;23736;174;1223
128x128;1591;8;337
512x512;23673;170;1320
256x256;6185;38;313
512x512;23697;170;1075
512x512;23987;166;1187
512x512;24306;173;1165
512x512;24216;155;986
512x512;24390;167;993
256x256;6265;40;359
256x256;5986;16;336
256x256;5974;17;350
256x256;6058;15;361
512x512;24508;207;1355
512x512;24797;190;1086
512x512;24096;171;1198
256x256;6130;38;352
512x512;23957;178;1340
128x128;1549;9;331
512x512;24044;211;1062
128x128;1566;6;308
256x256;6079;37;346
256x256;6007;17;320
512x512;23756;175;1418
128x128;1601;7;244
512x512;24015;173;1204
128x128;1606;6;294
128x128;1601;3;255
512x512;23970;175;1158
128x128;1584;6;268
256x256;6113;37;357
128x128;1502;4;240
256x256;6015;17;336
512x512;24045;177;965
512x512;23949;161;1101
128x128;1566;8;261
512x512;24015;180;1262
512x512;24070;166;1089
128x128;1554;8;253
256x256;6050;38;340
512x512;23932;175;888
256x256;6142;35;351
512x512;23973;192;1062
128x128;1538;8;283
128x128;1550;3;238
512x512;23957;171;1256
128x128;1535;5;322
256x256;6187;38;357
128x128;1499;4;245
256x256;6013;17;355
512x512;24175;176;1286
256x256;6234;32;362
128x128;1571;7;280
128x128;1492;4;264
512x512;24034;184;1263
256x256;6180;35;370
256x256;6087;17;338
128x128;1501;7;247
256x256;6054;15;327
512x512;23968;186;1222
512x512;24256;170;1035
128x128;1550;8;279
512x512;24371;190;1093
512x512;24171;166;1069
128x128;1543;8;316
256x256;6111;38;354
256x256;6034;17;361
128x128;1506;3;268
512x512;24062;178;1179
512x512;24343;183;1087
128x128;1602;8;262
256x256;6097;37;373
256x256;6032;17;338
256x256;6019;16;370
512x512;24456;180;1232
256x256;6251;34;321
128x128;1492;7;272
256x256;5942;16;329
512x512;24059;176;1040
128x128;1580;6;239
128x128;1584;3;250
512x512;24113;182;1129
512x512;24238;165;974
128x128;1545;7;284
512x512;24108;169;900
512x512;24357;163;1149
256x256;6094;40;339
256x256;6010;16;260
128x128;1563;8;261
512x512;24147;172;870
128x128;1576;6;170
512x512;24215;170;1102
256x256;6085;37;327
128x128;1499;7;243
256x256;6039;18;273
256x256;5959;16;291
256x256;6199;16;376
256x256;6149;23;398
512x512;24434;183;907
128x128;1615;8;169
128x128;1640;6;223
512x512;23909;171;929
128x128;1547;6;234
128x128;1555;4;200
512x512;24154;163;1079
256x256;6331;40;301
128x128;1581;6;249
512x512;23938;173;1102
256x256;6024;32;279
128x128;1495;7;169
256x256;6067;17;378
512x512;24084;172;823
256x256;6207;30;344
128x128;1490;6;238
256x256;6056;18;336
256x256;5964;17;356
512x512;24419;197;1154
512x512;24124;183;951
128x128;1614;8;264
128x128;1579;4;259
512x512;24509;172;1207
128x128;1552;5;326
128x128;1562;3;231
512x512;23940;170;1151
128x128;1491;6;193
256x256;6162;37;347
128x128;1582;4;269
512x512;23999;180;925
128x128;1559;5;288
512x512;24228;176;1006
512x512;24129;161;883
128x128;1539;8;168
256x256;6078;38;288
256x256;6086;17;309
128x128;1571;4;286
256x256;6081;18;331
512x512;24012;177;1002
256x256;6133;36;377
512x512;24136;179;1146
256x256;5992;34;315
256x256;5990;20;356
128x128;1505;8;265
512x512;23978;176;920
128x128;1584;7;278
256x256;6101;34;344
512x512;24071;169;1094
128x128;1550;7;173
256x256;6225;35;327
256x256;6265;17;344
512x512;23749;178;1111
128x128;1508;7;174
128x128;1527;4;243
512x512;24083;217;1309
256x256;6131;39;347
512x512;24013;171;1207
256x256;6174;97;381
512x512;25203;219;1003
128x128;1551;9;341
256x256;6169;39;378
512x512;23979;180;1038
256x256;6105;36;343
128x128;1496;10;315
512x512;23935;176;911
128x128;1542;6;322
256x256;6078;33;348
256x256;6110;18;310
256x256;5992;17;329
128x128;1497;6;255
