Size;Generation(µs);ToString(µs);ToRedis(µs)
256x256;25246;3507;1318
128x128;6485;873;325
2048x2048;1736684;244563;65681
128x128;6301;905;5657
2048x2048;1699673;242477;59927
256x256;24943;3551;4614
2048x2048;1673737;239324;61134
1024x1024;405404;58109;15067
256x256;26016;3513;1229
2048x2048;1676377;235453;61193
2048x2048;1647588;236919;62616
512x512;101712;13766;4416
512x512;98849;13868;3398
128x128;6141;860;221
1024x1024;403825;59914;13245
128x128;6746;959;1122
1024x1024;415852;55503;11928
256x256;24960;3471;1566
1024x1024;419835;57818;13181
1024x1024;418291;55526;12821
1024x1024;411574;55360;13301
512x512;99295;13985;4448
256x256;27185;4110;657
128x128;6283;882;250
256x256;26411;3494;369
256x256;25865;3614;490
2048x2048;1669898;235319;58054
256x256;24918;3472;4337
2048x2048;1660917;236430;61982
512x512;99049;13886;3944
256x256;24847;3456;703
256x256;26014;3483;433
256x256;25358;3537;319
512x512;99830;14055;1027
1024x1024;405750;57551;13269
512x512;99689;13956;4978
256x256;25236;3465;751
2048x2048;1651518;236438;63737
1024x1024;434593;57835;15207
2048x2048;1671061;240869;63210
128x128;6464;882;8872
128x128;6397;874;164
128x128;6296;883;181
128x128;6760;869;662
1024x1024;410052;57282;11999
256x256;26191;3495;1527
1024x1024;428634;57510;12255
128x128;6205;869;1213
1024x1024;415180;57504;12357
2048x2048;1661944;241031;61331
512x512;100279;14051;4112
1024x1024;401955;56529;12174
128x128;6203;868;1380
2048x2048;1666299;239345;61456
128x128;6285;869;5877
2048x2048;1651852;239994;63470
1024x1024;403957;58212;15813
512x512;100277;14045;3830
1024x1024;410066;56180;12791
256x256;24793;3480;1489
128x128;6188;862;284
512x512;99858;14157;2792
128x128;6279;877;219
2048x2048;1654000;246266;63112
2048x2048;1653795;240154;61551
512x512;102417;14443;3837
512x512;100472;14046;1893
256x256;26044;3510;836
2048x2048;1650911;235426;62528
256x256;24955;3464;3669
128x128;6824;878;231
128x128;6626;1074;237
256x256;24762;3962;562
2048x2048;1633144;239162;61912
1024x1024;402034;55527;15003
512x512;99814;14069;3989
512x512;99082;13852;1908
1024x1024;406082;55528;11735
512x512;100464;13839;4006
128x128;6512;861;445
256x256;25508;3485;988
2048x2048;1657004;235150;60295
256x256;25064;3462;5577
512x512;100873;13983;2219
512x512;99933;14257;962
512x512;99245;13789;1562
128x128;6621;868;134
512x512;100020;14023;931
512x512;99707;14014;996
256x256;24990;3493;513
1024x1024;397964;56366;12224
256x256;24768;3489;1449
2048x2048;1664864;236213;61603
128x128;6239;867;5769
256x256;25881;3454;653
1024x1024;406503;56835;12394
1024x1024;409848;55759;13330
128x128;6318;900;1183
1024x1024;413940;56698;11658
2048x2048;1670327;235265;61371
128x128;6420;1015;3026
256x256;25765;3578;541
2048x2048;1672906;241493;60923
128x128;6358;1057;3048
1024x1024;404105;55699;11497
512x512;100345;13833;3611
2048x2048;1659651;235219;60729
2048x2048;1668052;242602;61383
1024x1024;406089;56424;14211
256x256;25306;3706;1298
2048x2048;1688541;242423;60195
128x128;6926;989;5731
1024x1024;407122;57800;11537
2048x2048;1671294;241097;62920
512x512;103179;15151;4813
128x128;6427;872;469
128x128;6330;884;216
2048x2048;1662353;242430;66777
512x512;101308;14366;4486
128x128;6554;875;412
1024x1024;405011;58262;13062
512x512;101333;13842;3804
256x256;25580;3503;639
512x512;99379;13911;1577
2048x2048;1704688;265539;65310
512x512;107233;14778;4471
1024x1024;406725;56316;12765
128x128;6582;869;1273
2048x2048;1701252;237369;62125
2048x2048;1669951;237460;60865
128x128;6565;872;2533
512x512;103054;14625;1182
2048x2048;1674078;237287;61889
1024x1024;407627;60483;16364
256x256;25347;3487;1764
256x256;25205;3512;459
1024x1024;417719;57527;12291
2048x2048;1693149;247528;61950
128x128;6290;869;5174
128x128;6653;888;192
1024x1024;419529;59828;12510
128x128;6512;1006;1414
128x128;6455;879;253
2048x2048;1701805;244144;63260
2048x2048;1675632;248897;65876
128x128;6824;919;8393
512x512;104351;14246;1729
256x256;26156;3782;490
1024x1024;417005;59505;12821
128x128;6353;874;1669
1024x1024;422949;58293;12059
2048x2048;1710926;248448;64548
128x128;6601;903;4923
512x512;113390;14354;1373
1024x1024;418289;57097;12137
1024x1024;422871;58033;13298
2048x2048;1700061;245971;60397
128x128;6360;881;12655
512x512;102418;14171;2034
2048x2048;1687580;241850;65399
256x256;26603;3520;3480
512x512;102653;13805;2810
2048x2048;1681307;246119;62703
128x128;6399;884;5766
256x256;26475;3653;438
2048x2048;1695800;246645;60368
128x128;6404;1071;4221
512x512;106736;14387;2341
512x512;100389;13933;1721
2048x2048;1680847;245296;62686
512x512;102829;14158;5398
2048x2048;1665701;244310;67506
1024x1024;415786;57045;14361
512x512;102927;14467;4177
2048x2048;1693441;244429;60008
256x256;25908;3479;3262
2048x2048;1665559;243414;61464
128x128;6392;885;7956
1024x1024;411393;57771;12060
512x512;102218;14205;5086
1024x1024;414199;57066;11551
256x256;25255;3444;1554
128x128;6142;864;251
128x128;6083;860;131
512x512;101066;14312;3232
128x128;6304;864;251
128x128;6228;952;653
512x512;102044;14150;1741
128x128;6303;884;1201
2048x2048;1676699;243475;61174
256x256;25467;3605;5377
512x512;103543;14136;1295
128x128;6422;874;283
1024x1024;411530;56792;12044
512x512;101538;14179;3850
256x256;25547;3609;632
512x512;102113;14217;1389
128x128;6284;872;225
2048x2048;1672673;241470;64432
256x256;25504;3729;6229
1024x1024;409912;56332;11747
1024x1024;414690;57522;13616
2048x2048;1676282;236124;57829
256x256;25221;3449;3073
256x256;25383;3452;641
2048x2048;1658231;235363;58702
1024x1024;409202;55984;14373
512x512;101280;14104;3972
512x512;102369;14715;2273
128x128;6325;1027;198
2048x2048;1667860;238717;57929
1024x1024;419306;56903;13698
128x128;6152;872;1190
1024x1024;415118;56083;12111
128x128;6358;869;947
256x256;25800;3493;351
512x512;101250;14157;2737
512x512;101955;15675;1113
1024x1024;416081;56053;12240
1024x1024;410669;56562;12776
256x256;24837;3475;1330
128x128;6423;879;442
2048x2048;1678371;246620;61378
2048x2048;1687983;242810;61899
256x256;25439;3589;5819
512x512;101234;14332;1798
256x256;25835;3521;522
2048x2048;1678657;243351;61814
2048x2048;1707668;252187;64312
1024x1024;412196;57217;15484
512x512;106877;15380;3303
256x256;25990;3607;302
256x256;26113;3604;436
1024x1024;418792;58385;13863
2048x2048;1680535;246282;59636
512x512;102682;14549;4237
2048x2048;1680162;240203;58990
128x128;6264;868;7322
1024x1024;410569;56492;12664
1024x1024;417725;57159;13557
512x512;101037;14042;4023
256x256;25556;3496;1241
512x512;103483;13793;1838
128x128;6336;944;142
2048x2048;1708409;254875;60767
256x256;25738;3656;9571
512x512;106698;14686;1382
1024x1024;420789;61281;12809
2048x2048;1713021;242739;59039
2048x2048;1702531;256717;63859
256x256;27177;4232;3850
128x128;6343;980;1490
1024x1024;419964;65087;12152
1024x1024;433971;59382;12880
256x256;26034;3550;1285
512x512;103761;14518;3440
128x128;6472;888;386
1024x1024;428782;58684;12583
128x128;6213;889;1161
1024x1024;421282;60462;12735
512x512;104016;14676;4070
2048x2048;1708550;245787;60175
128x128;6305;869;8022
512x512;103185;14371;1238
256x256;26131;3906;421
1024x1024;411575;59531;11541
512x512;103831;14611;4753
2048x2048;1688226;244851;62115
512x512;102482;14659;5397
1024x1024;410336;57804;12827
2048x2048;1688624;243132;60686
128x128;6134;869;3987
256x256;25640;3472;592
1024x1024;429423;63788;13447
128x128;7208;1083;1268
128x128;6994;931;222
256x256;26583;3726;614
512x512;104372;14600;3249
2048x2048;1691442;241240;58230
512x512;103050;14368;3500
2048x2048;1685283;241313;59267
256x256;25787;3697;5574
128x128;6139;869;328
2048x2048;1665744;241304;62451
2048x2048;1691287;244021;63629
128x128;6220;869;11557
128x128;6490;864;365
256x256;25625;3493;715
1024x1024;406535;56590;11567
256x256;25699;3439;1301
128x128;6618;859;182
1024x1024;413698;55657;13005
256x256;25143;3462;1482
1024x1024;414027;57157;12574
1024x1024;419563;57638;12514
256x256;25335;3526;1405
2048x2048;1688482;239480;57278
512x512;101529;14023;4481
2048x2048;1658982;239696;58976
2048x2048;1661441;239965;64071
1024x1024;406361;56140;15205
128x128;6335;880;1251
512x512;102287;13978;3519
512x512;101471;14044;1711
512x512;101220;14118;1718
256x256;25469;3512;370
128x128;6611;874;208
2048x2048;1682199;237689;62252
256x256;26646;3532;6174
128x128;6534;892;300
128x128;6318;895;249
256x256;25427;3562;355
512x512;101464;13956;1194
512x512;102857;14315;989
1024x1024;414531;59744;12347
256x256;25092;3521;1546
256x256;26631;3500;609
128x128;6380;879;275
2048x2048;1688103;249496;60818
512x512;102374;14350;4388
2048x2048;1671436;243540;63299
128x128;6225;864;8473
512x512;102561;14572;1452
256x256;26129;3671;568
256x256;25878;3602;389
512x512;102859;14353;935
256x256;25370;3679;371
2048x2048;1686281;242160;60189
256x256;25705;3761;3193
512x512;104427;14768;1283
128x128;6475;884;184
1024x1024;409397;59738;11810
256x256;25388;3451;1243
1024x1024;412663;56155;12589
256x256;25202;3488;1585
256x256;25402;3512;439
2048x2048;1683412;242988;63069
128x128;6132;869;7072
128x128;6555;1034;161
128x128;6233;869;180
2048x2048;1690708;243455;62902
256x256;25967;3813;3977
2048x2048;1674570;241747;63207
256x256;25592;3553;3827
128x128;6682;868;242
2048x2048;1670651;234755;63282
1024x1024;410310;58291;15179
256x256;25408;3525;1709
2048x2048;1675639;240915;62450
1024x1024;408573;58551;16095
256x256;25323;3452;1314
2048x2048;1681497;243001;65130
2048x2048;1717606;252104;65030
512x512;103788;14520;4605
512x512;103023;14493;2505
128x128;6939;1233;196
256x256;25333;3547;276
2048x2048;1692473;245936;63441
2048x2048;1681312;238917;61412
2048x2048;1685221;249692;61877
2048x2048;1712141;247712;62084
2048x2048;1674870;240248;63226
1024x1024;411202;58157;14107
1024x1024;418887;57000;12247
128x128;6392;884;882
256x256;26155;3531;376
1024x1024;416106;55885;12276
2048x2048;1689390;240990;60120
128x128;6246;864;3724
512x512;101567;14143;1783
512x512;102142;14244;2688
2048x2048;1682493;238416;62802
128x128;6465;960;13872
128x128;6600;879;173
1024x1024;406305;56080;11559
1024x1024;418690;57706;13255
256x256;25159;3450;1514
512x512;102387;14107;3714
1024x1024;410263;55419;12389
1024x1024;414414;55279;12849
512x512;102837;14093;3095
128x128;6370;886;230
256x256;25597;3530;346
256x256;26002;3519;312
2048x2048;1678444;241410;61836
1024x1024;406738;56373;15471
1024x1024;415080;55467;14243
256x256;25225;3481;2208
512x512;102182;14007;3094
512x512;101076;13959;974
256x256;25319;3476;555
128x128;6128;871;177
512x512;101807;14341;1104
2048x2048;1660342;238301;60390
512x512;104686;15741;4652
256x256;27857;3662;1017
1024x1024;420705;57356;12958
128x128;6644;917;1280
1024x1024;420838;57271;11411
128x128;6563;869;1005
512x512;103154;13974;3305
512x512;102468;14318;1709
512x512;101292;14161;1599
512x512;101791;15354;1238
2048x2048;1708682;244576;63749
1024x1024;409676;56121;14641
128x128;6216;864;1175
512x512;101772;13800;2399
2048x2048;1702652;240424;59364
1024x1024;411121;56332;14163
128x128;6288;869;1117
256x256;25376;3476;370
128x128;6269;863;308
2048x2048;1684133;240184;62629
2048x2048;1668385;242761;67287
256x256;25459;3579;3869
256x256;26599;3797;529
128x128;6591;910;147
256x256;25252;3463;421
256x256;25141;3463;372
128x128;6177;868;151
1024x1024;411281;57458;12242
256x256;25682;3632;1311
128x128;6864;896;337
2048x2048;1683574;242130;62886
1024x1024;411177;57180;15382
1024x1024;419505;58709;12775
128x128;6296;874;919
2048x2048;1702153;254047;64987
2048x2048;1673068;240445;61190
256x256;25558;3486;4660
1024x1024;405692;58180;13298
2048x2048;1697688;246120;61301
128x128;6650;869;3940
2048x2048;1716224;247029;63378
128x128;6527;1111;12961
256x256;28496;3869;883
256x256;28868;4110;485
2048x2048;1691325;244734;60898
512x512;104752;14258;4551
512x512;102147;14564;1857
1024x1024;404133;56524;12461
2048x2048;1678884;247120;62281
512x512;104764;14600;8665
256x256;25864;3491;589
512x512;104464;15723;1413
128x128;6692;881;234
256x256;26483;3622;338
2048x2048;1680063;242674;63013
2048x2048;1678100;243004;63010
128x128;6355;871;8161
128x128;6441;1081;233
512x512;102544;14391;1696
512x512;101244;14129;1805
1024x1024;408280;56162;11709
512x512;101996;14081;3261
256x256;25702;3564;342
2048x2048;1682496;244085;62201
256x256;26530;3884;4377
128x128;6893;879;255
128x128;6733;958;191
256x256;27269;3568;356
