Size;Generation(µs);Serialization(µs);ToRedis(µs)
128x128;1535;7;388
512x512;25428;269;3140
128x128;1561;8;221
512x512;24226;203;1971
512x512;23909;183;1410
128x128;1497;8;189
512x512;23927;186;1449
512x512;23926;207;2112
256x256;6073;48;486
512x512;24401;208;1562
128x128;1519;8;190
256x256;6085;48;469
128x128;1493;6;235
512x512;23898;192;1302
128x128;1484;9;173
256x256;5951;39;426
512x512;23941;191;1322
512x512;23937;209;1372
512x512;24053;197;1444
512x512;23841;187;1790
128x128;1499;8;264
256x256;5937;40;464
512x512;24048;188;1700
512x512;23885;193;1441
256x256;5996;39;386
128x128;1496;8;241
256x256;5945;18;410
256x256;5970;18;415
128x128;1496;4;273
128x128;1511;4;240
128x128;1505;4;252
128x128;1495;4;244
128x128;1501;4;243
256x256;5938;17;357
512x512;24123;185;1538
128x128;1488;8;226
256x256;5976;37;350
128x128;1489;4;203
256x256;5987;17;600
256x256;5965;17;434
128x128;1491;3;245
512x512;23906;181;1428
256x256;5975;36;494
128x128;1484;7;264
128x128;1486;4;242
128x128;1480;4;247
256x256;5960;18;380
512x512;24061;191;1524
256x256;5970;36;403
512x512;23915;185;1355
128x128;1503;8;228
512x512;23742;183;1235
512x512;24615;202;1201
256x256;6216;39;524
256x256;6181;18;408
512x512;23855;186;1518
512x512;23905;188;1284
128x128;1505;9;246
512x512;23938;193;1192
256x256;5987;40;432
256x256;6000;18;384
512x512;24307;185;1416
512x512;24051;202;1409
512x512;23747;191;1179
256x256;5989;39;440
256x256;5957;17;374
128x128;1496;8;229
128x128;1495;3;191
512x512;24148;197;1517
128x128;1491;7;261
128x128;1489;4;294
512x512;23848;197;1414
256x256;6016;40;484
256x256;6104;18;348
128x128;1495;8;246
256x256;5934;16;390
128x128;1496;3;228
512x512;24298;198;1302
512x512;23892;182;1461
256x256;5990;38;369
512x512;23884;186;1234
512x512;23794;184;1338
256x256;5955;39;411
256x256;5995;18;370
128x128;1597;9;253
512x512;23885;183;1340
256x256;6018;35;461
512x512;23746;189;1225
256x256;6032;36;402
128x128;1500;8;197
256x256;5990;17;359
256x256;5995;16;351
512x512;23974;188;1225
512x512;23809;188;1433
512x512;23981;227;1794
512x512;24004;197;1744
128x128;1515;8;260
256x256;5954;38;351
128x128;1486;4;291
256x256;5999;17;436
128x128;1550;4;197
128x128;1532;3;199
128x128;1545;3;153
128x128;1549;3;182
512x512;24486;183;1401
256x256;5945;38;438
512x512;23879;187;1679
256x256;5949;38;528
256x256;5958;17;432
512x512;23866;186;1494
512x512;23932;192;1409
256x256;5971;40;475
512x512;23905;191;1288
128x128;1588;9;219
128x128;1596;3;178
256x256;6110;38;418
256x256;5973;19;337
256x256;5919;17;411
512x512;24073;188;1354
128x128;1491;8;154
256x256;6017;37;336
512x512;23881;188;1476
128x128;1499;8;234
256x256;5951;38;340
512x512;23936;185;1546
256x256;6023;37;428
256x256;5989;17;411
512x512;23941;184;1253
512x512;23928;189;1427
256x256;5961;39;439
128x128;1489;8;244
256x256;5978;18;320
512x512;23947;186;1492
512x512;23893;187;1279
128x128;1515;9;223
512x512;23749;188;1698
512x512;23890;188;1417
128x128;1545;9;192
256x256;5994;39;341
256x256;6028;19;421
512x512;23888;181;1469
256x256;5961;34;432
128x128;1484;8;260
256x256;5949;17;429
512x512;24133;186;1574
256x256;5953;35;468
512x512;23831;189;1210
512x512;23840;200;1271
256x256;5956;39;441
128x128;1552;9;173
128x128;1550;3;222
256x256;5986;18;454
512x512;24153;203;1431
512x512;23769;192;1142
128x128;1580;8;210
512x512;23980;187;1530
256x256;5981;39;453
128x128;1501;8;245
256x256;5977;18;372
256x256;5999;17;423
128x128;1544;4;238
512x512;24164;192;1430
256x256;5987;36;448
512x512;23910;187;1253
128x128;1499;8;181
128x128;1495;3;228
256x256;5973;37;422
256x256;5978;17;336
512x512;23922;187;1311
256x256;6000;37;485
256x256;5974;17;324
512x512;23748;188;1181
128x128;1490;8;164
256x256;5978;36;478
128x128;1493;4;255
512x512;24197;180;1383
128x128;1526;8;223
256x256;5958;37;447
128x128;1492;4;197
128x128;1492;4;252
256x256;5982;21;356
128x128;1516;3;244
256x256;5968;17;356
128x128;1531;4;219
512x512;24316;184;1154
256x256;5959;35;381
512x512;24217;192;1332
512x512;23892;180;1256
512x512;23879;183;1178
512x512;23711;186;1324
256x256;6026;39;420
512x512;23957;185;1260
256x256;5974;38;510
128x128;1503;9;192
128x128;1492;3;227
256x256;5931;18;482
512x512;23930;188;1529
512x512;23956;186;1206
512x512;23979;187;1232
512x512;23924;191;1328
512x512;24132;184;1376
256x256;5939;45;454
512x512;23936;189;1410
128x128;1500;8;161
256x256;6023;39;466
128x128;1548;4;249
256x256;6131;17;429
256x256;5963;17;327
128x128;1508;4;243
128x128;1495;4;248
128x128;1504;4;251
256x256;5978;17;417
512x512;24093;184;1460
128x128;1525;7;221
128x128;1549;3;194
128x128;1491;4;182
512x512;23939;189;1628
256x256;5970;39;398
128x128;1510;7;222
512x512;23769;184;1435
512x512;23895;191;1291
512x512;23932;181;1310
512x512;23944;187;1354
256x256;5962;39;403
128x128;1501;8;205
256x256;5976;17;409
256x256;5983;16;435
512x512;23982;182;1261
512x512;24005;182;1228
256x256;5982;41;404
512x512;23958;185;1154
256x256;5951;37;411
256x256;6037;17;469
128x128;1488;8;171
512x512;23914;197;1211
512x512;24034;204;1264
128x128;1503;8;253
256x256;5932;39;486
128x128;1495;4;202
256x256;6019;20;431
128x128;1567;4;271
512x512;24306;234;1364
256x256;5998;37;429
128x128;1509;8;220
128x128;1506;4;232
128x128;1486;4;249
512x512;23910;186;1325
128x128;1564;7;197
512x512;23892;192;1449
128x128;1509;8;155
128x128;1506;4;198
512x512;23858;190;1263
512x512;24237;232;1443
128x128;1556;8;123
512x512;23903;189;1304
256x256;6011;40;424
256x256;5988;17;340
512x512;23835;184;1535
256x256;5982;36;429
256x256;5965;17;366
128x128;1578;8;217
128x128;1573;3;180
256x256;5958;16;450
256x256;6004;16;314
256x256;6099;17;448
128x128;1590;4;243
512x512;24022;183;1264
512x512;23769;190;1219
512x512;23905;189;1278
128x128;1539;8;259
512x512;23973;184;1277
512x512;23878;184;1511
256x256;5988;38;406
512x512;23789;192;1423
128x128;1503;9;218
512x512;23844;186;1230
256x256;5980;40;461
128x128;1489;8;183
512x512;23859;187;1646
256x256;5972;38;451
256x256;6024;17;504
512x512;24109;191;1309
256x256;5980;38;475
128x128;1529;8;288
512x512;23919;191;1404
512x512;23768;187;1340
512x512;23943;181;1668
512x512;23913;189;1494
256x256;5984;39;533
128x128;1563;8;246
512x512;23878;184;1488
256x256;5925;38;464
512x512;23974;186;1505
128x128;1524;8;207
128x128;1488;4;250
256x256;5972;37;548
128x128;1485;3;323
512x512;23722;187;1352
128x128;1546;7;227
256x256;5988;37;410
256x256;5976;17;517
128x128;1489;4;193
256x256;5971;20;721
128x128;1497;5;198
512x512;23910;187;1424
256x256;6007;38;476
512x512;23951;186;1522
128x128;1506;8;190
512x512;23861;182;1311
512x512;23747;186;1478
512x512;24012;184;1700
128x128;1497;8;270
128x128;1485;4;243
512x512;23847;192;1224
512x512;23826;184;1398
256x256;5954;38;483
128x128;1504;17;241
128x128;1574;27;363
512x512;24706;215;1500
256x256;5985;41;345
512x512;23928;185;1142
512x512;23879;190;1246
512x512;24050;184;1234
256x256;6093;39;460
128x128;1493;8;198
512x512;23844;189;1275
256x256;5982;38;454
128x128;1490;8;224
512x512;23934;187;1401
128x128;1510;8;181
512x512;23946;183;1430
512x512;23915;176;1452
256x256;5999;38;752
512x512;23741;187;1475
256x256;5993;37;436
256x256;5982;18;385
256x256;6330;17;464
128x128;1501;8;219
128x128;1478;3;232
256x256;5942;17;547
512x512;24145;189;1319
256x256;5963;36;429
128x128;1487;7;194
